"ESTADO","NOMBRE ESTADO","DISTRITO","CABECERA DISTRITAL","SECCIONES","CASILLAS"," PAN"," PRI"," PRD"," PVEM"," PT"," MOVIMIENTO CIUDADANO"," NUEVA ALIANZA"," MORENA"," PARTIDO HUMANISTA"," ENCUENTRO SOCIAL"," PAN-NUEVA ALIANZA"," PRI PVEM"," PRD PT"," CANDIDATO INDEPENDIENTE 1"," CANDIDATO INDEPENDIENTE 2"," CANDIDATOS NO REGISTRADOS"," NULOS","TOTAL VOTOS","LISTA NOMINAL","OBSERVACIONES"
"6","COLIMA","1","COLIMA","212","494","46,069","44,010","47,059","3,996","3,665","6,629","3,162","2,395","1,578","1,144",,"890",,,,"44","4,760","165,401","265,425","ST-JIN-83-2015 ST-JIN-84-2015 ST-JIN-85-2015 SUP-REC-461-2015"
"6","COLIMA","2","MANZANILLO","158","409","54,403","43,088","3,399","7,090","3,381","5,666","1,968","3,644","2,365","2,542",,"1,254",,,,"44","3,865","132,709","233,106","ST-JIN-63-2015 SUP-REC-373-2015"
"7","CHIAPAS","1","PALENQUE","160","543","2,525","26,140","7,265","77,513","5,591","1,635","2,277","14,319","954","895",,"2,097",,,,"26","11,269","152,506","302,373","SX-JIN-16-2015"
"7","CHIAPAS","2","BOCHIL","141","461","2,356","54,681","12,626","55,581","6,590","902","1,918","2,049","378","227",,"1,242",,,,"11","4,937","143,498","240,712","SX-JIN-12-2015"
"7","CHIAPAS","3","OCOSINGO","143","571","3,720","21,540","11,438","74,095","1,589","2,404","3,340","3,780","764","582",,"1,869",,,,"26","8,004","133,151","278,366","SX-JIN-19-2015 SX-JIN-20-2015"
"7","CHIAPAS","4","OCOZOCOAUTLA DE ESPINOSA","182","493","3,475","37,362","3,475","64,114","2,468","5,339","3,304","4,776","1,082","1,665",,"1,982",,,,"42","4,977","134,061","263,339","SX-JIN-14-2015 SX-JIN-15-2015"
"7","CHIAPAS","5","SAN CRISTOBAL DE LAS CASAS","152","499","3,389","42,523","6,679","54,145","1,830","2,075","2,676","5,653","1,606","1,599",,"1,948",,,,"86","10,268","134,477","273,671","SX-JIN-21-2015 SX-JIN-22-2015 SUP-REC-349-2015"
"7","CHIAPAS","6","TUXTLA GUTIERREZ","143","498","4,438","30,489","3,526","49,419","1,934","2,355","2,411","15,464","1,377","2,402",,"2,457",,,,"175","7,130","123,577","305,129","SX-JIN-97-2015 SX-JIN-98-2015 SUP-REC-352-2015"
"7","CHIAPAS","7","TONALA","165","431","6,120","16,775","2,036","47,219","5,755","2,022","2,129","5,239","1,149","528",,"1,693",,,,"15","3,512","94,192","230,315","SX-JIN-25-2015"
"7","CHIAPAS","8","COMITAN DE DOMINGUEZ","177","491","1,630","30,942","6,348","82,339","4,777","1,250","3,026","4,519","1,240","1,001",,"2,154",,,,"45","6,960","146,231","283,418","SX-JIN-63-2015 SX-JIN-64-2015 SUP-REC-395-2015"
"7","CHIAPAS","9","TUXTLA GUTIERREZ","204","514","8,161","12,109","4,109","24,771","2,813","2,090","2,622","12,526","2,338","5,926",,"2,349",,,,"399","11,598","91,811","306,598","SX-JIN-28-2015 SX-JIN-29-2015 SX-JIN-30-2015"
"7","CHIAPAS","10","VILLAFLORES","175","465","4,660","24,934","5,606","61,822","2,611","2,054","2,924","7,534","1,105","4,387",,"1,946",,,,"39","5,893","125,515","260,260","SX-JIN-26-2015 SX-JIN-27-2015 SUP-REC-397-2015"
"7","CHIAPAS","11","HUIXTLA","197","521","4,172","28,350","15,414","52,840","3,204","1,488","2,203","6,058","3,029","857",,"1,660",,,,"37","5,729","125,041","272,013","SX-JIN-10-2015"
"7","CHIAPAS","12","TAPACHULA","199","480","15,788","21,875","4,120","32,470","2,660","3,431","2,376","10,691","2,632","1,650",,"4,065",,,,"63","6,522","108,343","265,045","SX-JIN-17-2015"
"8","CHIHUAHUA","1","JUAREZ","441","773","14,027","30,017","4,086","8,383","1,961","3,631","7,791","9,161","2,886","4,859",,"1,070",,,,"102","5,907","93,881","406,242","SG-JIN-28-2015 SG-JIN-65-2015 SUP-REC-302-2015"
"8","CHIHUAHUA","2","JUAREZ","251","355","6,946","18,969","3,262","2,971","947","1,179","3,631","4,123","1,053","2,171",,"666",,,,"67","4,066","50,051","185,048","SG-JIN-21-2015 SG-JIN-23-2015 SG-JIN-29-2015 SUP-REC-299-2015"
"8","CHIHUAHUA","3","JUAREZ","308","483","22,356","15,907","1,582","5,287","1,322","2,998","5,254","7,643","2,124","3,342",,"1,210",,"1,744",,"206","4,911","75,886","242,964","SG-JIN-33-2015 SG-JIN-34-2015 SG-JIN-67-2015 SUP-REC-428-2015"
"8","CHIHUAHUA","4","JUAREZ","240","379","9,655","17,138","1,604","3,669","2,601","3,408","4,734","4,674","1,703","2,228",,"703",,,,"72","4,032","56,221","201,625","SG-JIN-22-2015 SG-JIN-27-2015 SG-JIN-66-2015 SUP-REC-300-2015"
"8","CHIHUAHUA","5","DELICIAS","369","606","38,806","52,952","3,982","2,455","2,753","1,661","9,942","5,809","1,095","2,096",,"1,432",,,,"90","5,004","128,077","317,817","SG-JIN-25-2015 SG-JIN-26-2015 SUP-REC-301-2015"
"8","CHIHUAHUA","6","CHIHUAHUA","338","538","45,387","31,373","1,840","4,331","2,484","6,493","7,012","7,378","3,013","4,386",,"809",,,,"310","7,713","122,529","286,311","SG-JIN-31-2015 SG-JIN-30-2015 SUP-REC-456-2015"
"8","CHIHUAHUA","7","CUAUHTEMOC","472","676","23,484","39,511","4,597","4,771","2,513","1,097","5,844","4,273","910","2,842",,"1,952",,,,"230","5,122","97,146","305,919","SG-JIN-32-2015 SG-JIN-74-2015 SUP-REC-470-2015"
"8","CHIHUAHUA","8","CHIHUAHUA","309","628","26,949","30,945","2,773","6,632","3,195","5,367","9,031","7,705","3,076","4,622",,"849",,,,"258","7,204","108,606","344,255","SG-JIN-24-2015 SG-JIN-64-2015 SUP-REC-321-2015"
"8","CHIHUAHUA","9","HIDALGO DEL PARRAL","417","612","21,346","51,947","1,891","2,372","1,394","1,221","9,567","2,262","789","1,161",,"1,463",,,,"57","5,842","101,312","277,550","SG-JIN-20-2015 SG-JIN-35-2015 SUP-REC-320-2015"
"9","DISTRITO FEDERAL","1","GUSTAVO A. MADERO","159","385","5,760","7,014","22,684","4,387","1,426","5,497","2,825","24,229","2,374","5,015",,"239","248",,,"139","4,923","86,760","234,073","SDF-JIN-54-2015 SDF-JIN-55-2015 SDF-JIN-107-2015 SUP-REC-412-2015"
"9","DISTRITO FEDERAL","2","GUSTAVO A. MADERO","260","489","23,378","12,543","14,899","4,697","1,603","3,387","3,489","24,828","3,877","7,657",,"290","178",,,"389","8,138","109,353","255,862","SDF-JIN-82-2015 SDF-JIN-83-2015 SUP-REC-444-2015"
"9","DISTRITO FEDERAL","3","AZCAPOTZALCO","241","478","17,782","13,991","20,290","5,296","1,971","2,977","4,339","28,750","4,262","7,785",,"436","350",,,"320","8,117","116,666","270,193","SDF-JIN-17-2015 SDF-JIN-58-2015 SUP-REC-362-2015"
"9","DISTRITO FEDERAL","4","IZTAPALAPA","189","429","9,123","8,659","25,463","5,186","2,147","3,503","2,677","29,369","3,446","8,280",,,"227",,,"268","7,781","106,129","254,933","SDF-JIN-6-2015 SDF-JIN-89-2015 SDF-JIN-90-2015 SDF-JIN-91-2015 SUP-REC-407-2015"
"9","DISTRITO FEDERAL","5","TLALPAN","213","424","26,738","12,300","10,910","4,009","1,753","3,196","2,267","27,436","3,448","6,391",,"326","335",,,"414","9,622","109,145","239,030","SDF-JIN-102-2015 SDF-JIN-103-2015 SUP-REC-404-2015 SUP-REC-405-2015"
"9","DISTRITO FEDERAL","6","GUSTAVO A. MADERO","217","456","8,662","11,385","19,842","6,021","1,689","3,749","4,819","30,238","3,493","7,648",,"412","134",,,"265","7,167","105,524","259,955","SDF-JIN-20-2015 SDF-JIN-77-2015 SUP-REC-363-2015"
"9","DISTRITO FEDERAL","7","GUSTAVO A. MADERO","222","472","11,733","15,905","20,052","5,551","1,922","6,117","3,829","29,394","3,972","8,582",,"693","442",,,"336","8,275","116,803","270,041","SDF-JIN-43-2015 SDF-JIN-60-2015 SUP-REC-443-2015"
"9","DISTRITO FEDERAL","8","CUAUHTEMOC","251","512","17,413","19,239","18,811","5,437","1,819","3,082","3,102","34,152","4,467","8,717",,"444","178",,,"388","9,506","126,755","282,267","SDF-JIN-24-2015 SDF-JIN-98-2015 SDF-JIN-99-2015 SDF-JIN-111-2015 SDF-JIN-112-2015 SUP-REC-364-2015"
"9","DISTRITO FEDERAL","9","VENUSTIANO CARRANZA","217","448","10,066","11,787","29,592","5,840","1,560","8,971","2,640","20,245","3,147","6,862",,"279","192",,,"304","7,140","108,625","261,049","SDF-JIN-27-2015 SDF-JIN-100-2015 SDF-JIN-101-2015"
"9","DISTRITO FEDERAL","10","MIGUEL HIDALGO","260","549","37,986","15,134","28,840","5,718","1,660","3,768","3,258","21,591","3,895","8,149",,"445","305",,,"517","10,551","141,817","312,293","SDF-JIN-26-2015 SDF-JIN-72-2015 SDF-JIN-73-2015"
"9","DISTRITO FEDERAL","11","VENUSTIANO CARRANZA","208","431","9,687","11,358","24,454","4,282","2,097","7,975","2,912","22,545","3,206","6,751",,,"148",,,"299","7,417","103,131","243,267","SDF-JIN-12-2015 SDF-JIN-87-2015 SDF-JIN-88-2015"
"9","DISTRITO FEDERAL","12","CUAUHTEMOC","244","499","15,376","18,785","19,695","4,252","1,695","3,365","2,969","28,637","4,507","6,898",,"416","218",,,"476","9,417","116,706","280,944","SDF-JIN-10-2015 SDF-JIN-59-2015 SDF-JIN-86-2015 SUP-REC-402-2015"
"9","DISTRITO FEDERAL","13","IZTACALCO","210","424","11,313","11,808","22,427","4,814","2,063","5,703","3,372","23,290","3,593","7,369",,"463","143",,,"449","7,461","104,268","239,088","SDF-JIN-69-2015 SDF-JIN-70-2015 SDF-JIN-71-2015"
"9","DISTRITO FEDERAL","14","TLALPAN","142","446","10,100","9,239","30,223","6,488","1,851","2,475","2,117","31,892","3,212","5,284",,,"540",,,"212","8,705","112,338","277,662","SDF-JIN-79-2015 SDF-JIN-80-2015 SDF-JIN-81-2015 SUP-REC-448-2015"
"9","DISTRITO FEDERAL","15","BENITO JUAREZ","254","592","56,484","17,945","8,872","6,218","2,054","7,494","3,372","31,707","5,194","9,251",,,"93",,,"751","15,754","165,189","349,222","SDF-JIN-95-2015 SUP-REC-409-2015"
"9","DISTRITO FEDERAL","16","ALVARO OBREGON","219","500","13,900","13,423","26,786","11,264","1,912","3,236","4,114","26,711","4,089","7,076",,,"334",,,"229","9,554","122,628","291,726","SDF-JIN-5-2015 SDF-JIN-74-2015"
"9","DISTRITO FEDERAL","17","ALVARO OBREGON","189","546","29,497","23,728","24,930","9,954","2,244","3,960","3,701","24,610","4,718","7,618",,"2,675","656",,,"284","9,690","148,265","333,880","SDF-JIN-7-2015 SDF-JIN-22-2015 SDF-JIN-23-2015 SUP-REC-441-2015"
"9","DISTRITO FEDERAL","18","IZTAPALAPA","185","427","6,568","11,604","33,695","5,107","2,015","2,866","2,912","28,117","3,095","7,259",,,"328",,,"222","7,221","111,009","250,233","SDF-JIN-19-2015 SDF-JIN-53-2015"
"9","DISTRITO FEDERAL","19","IZTAPALAPA","164","423","4,964","7,643","31,998","5,098","2,174","3,516","2,753","31,228","2,802","7,152",,,"298",,,"214","6,948","106,788","257,580","SDF-JIN-11-2015 SDF-JIN-108-2015 SDF-JIN-109-2015"
"9","DISTRITO FEDERAL","20","IZTAPALAPA","234","485","14,313","13,074","26,501","6,252","2,620","3,485","3,149","32,989","4,245","9,264",,"399","300",,,"352","9,242","126,185","270,922","SDF-JIN-16-2015 SDF-JIN-94-2015 SUP-REC-319-2015"
"9","DISTRITO FEDERAL","21","XOCHIMILCO","130","434","7,077","21,593","15,615","7,703","2,741","13,846","3,427","26,428","3,215","6,932",,"1,381","206",,,"287","7,865","118,316","276,631","SDF-JIN-18-2015 SDF-JIN-75-2015 SDF-JIN-76-2015"
"9","DISTRITO FEDERAL","22","IZTAPALAPA","152","428","3,668","7,240","37,042","5,487","2,724","6,488","2,852","35,144","2,529","5,127",,,"373",,,"153","7,211","116,038","269,769","SDF-JIN-3-2015 SDF-JIN-25-2015"
"9","DISTRITO FEDERAL","23","COYOACAN","201","486","16,050","12,403","35,972","4,508","2,476","5,643","3,216","29,021","4,241","6,743",,,"532",,,"448","10,988","132,241","290,096","SDF-JIN-2-2015 SDF-JIN-32-2015 SDF-JIN-33-2015"
"9","DISTRITO FEDERAL","24","COYOACAN","202","458","29,060","14,576","18,882","4,182","1,694","4,712","2,606","24,570","2,981","6,457",,,"195","6,424",,"574","10,696","127,609","263,658","SDF-JIN-92-2015 SDF-JIN-93-2015 SUP-REC-406-2015"
"9","DISTRITO FEDERAL","25","IZTAPALAPA","174","448","8,873","10,066","21,502","6,378","2,729","6,764","2,914","32,270","3,440","6,828",,,"227",,,"322","7,991","110,304","272,642","SDF-JIN-9-2015 SDF-JIN-114-2015 SUP-REC-361-2015"
"9","DISTRITO FEDERAL","26","LA MAGDALENA CONTRERAS","259","530","28,512","23,543","21,026","5,613","2,104","5,185","2,980","27,009","4,030","6,271",,"705","460",,,"414","10,666","138,518","295,373","SDF-JIN-104-2015 SDF-JIN-105-2015 SDF-JIN-106-2015 SUP-REC-445-2015"
"9","DISTRITO FEDERAL","27","TLAHUAC","133","425","6,230","11,727","15,333","6,200","1,587","9,712","4,247","29,076","2,871","6,038",,"652","224",,,"167","6,414","100,478","263,144","SDF-JIN-1-2015 SDF-JIN-48-2015 SDF-JIN-113-2015 SUP-REC-365-2015"
"10","DURANGO","1","DURANGO","389","617","16,746","57,955","4,077","4,235","7,861","3,970","3,873","5,337","1,606","1,710",,"1,553",,,,"66","4,609","113,598","277,504","SG-JIN-49-2015 SG-JIN-50-2015 SUP-REC-382-2015"
"10","DURANGO","2","GOMEZ PALACIO","285","601","20,744","62,456","6,612","6,472","1,642","2,903","4,857","8,540","2,651","3,519",,"1,867","101",,,"145","5,153","127,662","337,297","SG-JIN-44-2015 SG-JIN-45-2015 SG-JIN-46-2015 SUP-REC-326-2015 SUP-REC-381-2015"
"10","DURANGO","3","GUADALUPE VICTORIA","450","638","22,307","61,892","8,115","4,664","6,120","3,627","4,562","5,718","1,935","1,164",,"1,382",,,,"48","4,135","125,669","272,515","SG-JIN-51-2015 SG-JIN-52-2015 SUP-REC-400-2015"
"10","DURANGO","4","DURANGO","240","539","26,133","39,373","2,636","4,323","13,920","17,771","5,181","6,188","2,859","3,903",,"961","218",,,"181","6,916","130,563","312,925","SG-JIN-48-2015 SUP-REC-399-2015"
"11","GUANAJUATO","1","SAN LUIS DE LA PAZ","213","424","46,932","31,156","6,007","15,738","3,192","998","3,994","2,070","1,750","1,098",,"598",,,,"62","4,764","118,359","232,202","SM-JIN-29-2015 SM-JIN-30-2015 SUP-REC-311-2015"
"11","GUANAJUATO","2","SAN MIGUEL DE ALLENDE","207","453","49,380","28,041","7,623","14,282","1,625","4,592","6,091","3,097","6,288","3,440",,"859",,,,"149","6,042","131,509","255,994",
"11","GUANAJUATO","3","LEON","283","608","73,324","29,651","2,426","10,395","1,637","3,570","5,123","4,415","3,783","6,621",,"1,476",,,,"172","6,734","149,327","357,820","SM-JIN-23-2015 SUP-REC-334-2015"
"11","GUANAJUATO","4","GUANAJUATO","211","545","47,472","41,283","9,204","9,469","3,023","1,812","5,106","4,853","2,709","2,336",,"1,171",,,,"174","5,980","134,592","318,822","SM-JIN-52-2015 SM-JIN-53-2015 SUP-REC-314-2015"
"11","GUANAJUATO","5","LEON","228","574","78,921","24,094","1,911","11,237","1,202","4,475","4,332","4,315","3,196","5,780",,"1,350",,,,"254","6,973","148,040","338,166","SM-JIN-51-2015 SUP-REC-313-2015"
"11","GUANAJUATO","6","LEON","212","546","69,727","27,782","1,839","10,018","1,144","3,036","4,467","4,032","2,973","6,305",,"1,518",,,,"144","5,848","138,833","332,462","SM-JIN-37-2015 SUP-REC-391-2015"
"11","GUANAJUATO","7","SAN FRANCISCO DEL RINCON","212","514","52,881","34,598","7,932","18,520","1,206","879","6,639","4,664","1,313","2,211",,"454",,,,"95","4,089","135,481","301,369","SM-JIN-24-2015 SM-JIN-25-2015 SUP-REC-310-2015"
"11","GUANAJUATO","8","SALAMANCA","226","529","54,231","21,381","14,609","21,647","1,388","3,816","9,930","6,800","5,422","3,389",,"303",,,,"139","4,781","147,836","311,926",
"11","GUANAJUATO","9","IRAPUATO","202","497","45,341","41,175","2,080","6,085","959","2,048","3,994","4,557","1,590","3,021",,"1,310",,,,"228","5,125","117,513","299,185","SM-JIN-33-2015 SM-JIN-34-2015 SUP-REC-411-2015 SUP-REC-416-2015"
"11","GUANAJUATO","10","URIANGATO","246","483","42,492","38,703","8,420","23,396","1,352","3,401","4,997","4,119","6,437","1,443",,"628",,,,"76","4,577","140,041","269,582","SM-JIN-3-2015 SUP-REC-303-2015"
"11","GUANAJUATO","11","PENJAMO","239","462","60,318","25,012","14,637","10,759","2,047","1,751","3,776","2,216","2,040","2,230",,"681",,,,"35","4,472","129,974","252,890","SM-JIN-9-2015 SUP-REC-309-2015"
"11","GUANAJUATO","12","CELAYA","205","493","45,811","23,800","7,680","8,656","2,818","8,839","5,644","7,960","3,904","5,100",,"987",,,,"181","5,567","126,947","292,047","SM-JIN-38-2015 SUP-REC-312-2015"
"11","GUANAJUATO","13","VALLE DE SANTIAGO","198","475","42,240","27,463","15,267","11,466","2,110","2,546","7,929","5,412","6,225","2,378",,"410",,,,"102","4,526","128,074","266,865","SM-JIN-1-2015 SUP-REC-308-2015"
"11","GUANAJUATO","14","ACAMBARO","255","486","41,199","25,490","17,122","15,092","1,759","10,571","4,372","3,417","714","1,403",,"502",,,,"65","4,896","126,602","264,295","SM-JIN-65-2015 SM-JIN-66-2015 SM-JIN-67-2015 SUP-REC-378-2015"
"12","GUERRERO","1","PUNGARABATO","394","539","4,902","61,144","55,911","2,033","1,619","6,595","3,203","5,643","401","338",,"722","865",,,"14","3,944","147,334","232,137","SDF-JIN-41-2015 SDF-JIN-42-2015"
"12","GUERRERO","2","IGUALA DE LA INDEPENDENCIA","378","591","14,224","48,031","33,827","6,705","5,334","13,157","5,327","5,755","2,047","4,377",,"1,301","634",,,"45","7,867","148,631","274,147","SDF-JIN-38-2015 SDF-JIN-39-2015"
"12","GUERRERO","3","ZIHUATANEJO DE AZUETA","328","542","2,521","48,067","52,767","6,150","1,803","6,852","3,764","6,788","2,014","1,789",,"793","960",,,"18","5,530","139,816","255,933","SDF-JIN-56-2015 SDF-JIN-57-2015 SUP-REC-442-2015"
"12","GUERRERO","4","ACAPULCO DE JUAREZ","220","513","10,085","37,960","38,422","5,595","3,389","10,809","2,782","6,152","1,890","2,815",,"1,479","1,503",,,"150","8,243","131,274","288,818","SDF-JIN-64-2015 SDF-JIN-66-2015 SDF-JIN-67-2015 SUP-REC-440-2015"
"12","GUERRERO","5","TLAPA DE COMONFORT","302","561","13,356","48,130","39,339","2,928","20,892","20,016","3,450","5,225","2,206","1,767",,"569","1,153",,,"15","9,884","168,930","266,173",
"12","GUERRERO","6","CHILAPA DE ALVAREZ","325","563","10,984","59,136","41,688","4,499","12,471","15,800","5,242","5,794","3,727","1,369",,"1,354","1,012",,,"31","9,380","172,487","274,201","SDF-JIN-40-2015"
"12","GUERRERO","7","CHILPANCINGO DE LOS BRAVO","244","516","2,130","49,515","38,820","11,890","2,813","9,239","2,266","5,887","2,372","2,224",,"1,646","1,180",,,"41","8,477","138,500","283,257","SDF-JIN-36-2015"
"12","GUERRERO","8","AYUTLA DE LOS LIBRES","315","500","9,693","30,109","48,484","26,055","4,797","11,575","4,298","4,890","8,035","714",,"1,978","961",,,"50","10,678","162,317","239,412","SDF-JIN-35-2015 SDF-JIN-49-2015"
"12","GUERRERO","9","ACAPULCO DE JUAREZ","161","475","8,093","49,491","27,096","7,373","5,179","9,785","2,288","5,430","1,365","2,856",,"2,209","1,689",,,"34","8,431","131,319","287,303",
"13","HIDALGO","1","HUEJUTLA DE REYES","266","482","18,936","53,058","17,188","2,319","2,218","1,382","10,859","5,623","2,720","38,650",,"600",,,,"29","6,868","160,450","251,425","ST-JIN-89-2015 SUP-REC-376-2015"
"13","HIDALGO","2","IXMIQUILPAN","365","555","19,822","45,185","18,421","5,762","2,090","1,055","11,946","7,916","1,531","3,360",,"626",,,,"49","5,629","123,392","267,099","ST-JIN-43-2015"
"13","HIDALGO","3","ACTOPAN","289","523","8,678","47,557","14,003","5,537","4,478","1,517","15,662","9,549","2,127","11,343",,"735",,,,"72","6,083","127,341","284,539",
"13","HIDALGO","4","TULANCINGO DE BRAVO","196","443","12,250","33,608","11,762","7,791","1,807","1,736","10,424","6,288","1,982","8,180",,"958",,,,"76","5,055","101,917","244,773","ST-JIN-74-2015 ST-JIN-75-2015"
"13","HIDALGO","5","TULA DE ALLENDE","213","501","23,496","40,157","10,127","9,675","1,986","2,423","8,276","13,258","2,192","5,274",,"782",,,,"93","5,417","123,156","295,693","ST-JIN-6-2015 SUP-REC-368-2015"
"13","HIDALGO","6","PACHUCA DE SOTO","205","509","16,808","37,236","4,798","5,736","2,852","2,462","9,966","9,420","2,943","7,829",,"903",,"23,840",,"206","7,020","132,019","307,377","ST-JIN-2-2015 ST-JIN-3-2015 SUP-REC-339-2015"
"13","HIDALGO","7","TEPEAPULCO","229","549","11,203","42,274","9,481","6,990","2,843","3,230","15,996","11,246","3,382","8,778",,"800",,,,"163","6,376","122,762","318,528","ST-JIN-23-2015"
"14","JALISCO","1","TEQUILA","220","479","47,282","50,711","10,671","5,499","7,369","31,526","5,453","4,619","1,271","1,895",,"1,030",,,,"36","4,227","171,589","260,780","SG-JIN-63-2015"
"14","JALISCO","2","LAGOS DE MORENO","192","470","50,807","43,638","3,447","9,669","818","25,309","4,841","2,993","1,484","1,555",,"2,481",,,,"53","4,796","151,891","268,578",
"14","JALISCO","3","TEPATITLAN DE MORELOS","200","483","54,972","45,754","2,985","6,608","938","23,010","3,831","1,607","4,853","5,109",,"1,122",,,,"55","5,689","156,533","280,325","SG-JIN-47-2015 SUP-REC-327-2015"
