"ESTADO","NOMBRE ESTADO","DISTRITO","CABECERA DISTRITAL","SECCIONES","CASILLAS"," PAN"," PRI"," PRD"," PVEM"," PT"," CONVERGENCIA"," NUEVA ALIANZA"," PSD"," PRIMERO MEXICO"," SALVEMOS MEXICO"," CANDIDATOS NO REGISTRADOS"," NULOS","TOTAL VOTOS","LISTA NOMINAL","OBSERVACIONES"
"8","CHIHUAHUA","5","Delicias","391","616","41,060","41,478","3,660","7,710","1,831","607","9,787","565",,"72","68","4,580","111,418","306,674",
"8","CHIHUAHUA","6","Chihuahua","303","541","44,089","46,713","2,805","10,214","1,735","1,086","5,709","912",,"72","466","13,169","126,970","293,635",
"8","CHIHUAHUA","7","Cuauhtémoc","503","695","28,283","42,701","4,746","6,622","2,354","981","5,539","349",,"228","75","6,541","98,419","308,105",
"8","CHIHUAHUA","8","Chihuahua","265","554","31,025","51,836","2,711","11,063","3,808","744","5,824","1,837",,"292","194","8,463","117,797","297,904",
"8","CHIHUAHUA","9","Hidalgo del Parral","436","620","22,581","43,717","2,902","3,765","1,037","778","5,589","331",,"126","59","4,673","85,558","271,853",
"9","DISTRITO FEDERAL","1","Distrito Federal","159","388","10,159","11,221","33,046","8,414","6,381","2,625","2,635","1,080",,"426","165","8,092","84,244","236,113",
"9","DISTRITO FEDERAL","2","Distrito Federal","260","508","32,901","20,407","23,913","9,305","8,166","2,782","4,094","1,664","395","223","547","12,672","117,069","270,590",
"9","DISTRITO FEDERAL","3","Distrito Federal","241","489","27,008","21,651","32,507","12,233","9,105","2,394","4,798","1,750",,"412","421","12,012","124,291","283,754",
"9","DISTRITO FEDERAL","4","Distrito Federal","189","422","15,475","14,172","22,497","10,339","23,757","1,786","3,498","1,833",,"374","309","10,335","104,375","249,425",
"9","DISTRITO FEDERAL","5","Distrito Federal","213","433","32,953","18,308","18,858","8,557","8,545","2,983","2,870","2,352",,"348","883","14,226","110,883","244,296",
"9","DISTRITO FEDERAL","6","Distrito Federal","217","456","14,845","18,432","28,482","10,058","8,602","4,017","3,911","1,814","301","426","310","10,335","101,533","264,736","El TEPJF recompuso el cómputo tomando en cuenta los votos para los candidatos; existen 7 diferencias entre los votos anulados y el cómputo distrital  debido a que el TEPJF anuló las casillas tomando en cuenta los resultados de las Actas de Escrutinio y Có"
"9","DISTRITO FEDERAL","7","Distrito Federal","222","475","20,233","23,561","28,512","10,298","10,687","2,961","4,222","2,140",,"328","436","12,243","115,621","279,220","El TEPJF recompuso el cómputo tomando en cuenta los votos para los candidatos; existen diferencias entre los totales  pues el TEPJF anota 115 622 siendo el resultado 115 621."
"9","DISTRITO FEDERAL","8","Distrito Federal","251","535","24,818","25,025","31,307","10,666","9,268","2,747","3,854","2,132",,"360","493","13,854","124,524","295,358",
"9","DISTRITO FEDERAL","9","Distrito Federal","217","455","17,378","19,642","31,079","8,727","9,354","1,978","5,258","1,454",,"436","318","10,214","105,838","268,327",
"9","DISTRITO FEDERAL","10","Distrito Federal","265","562","49,263","21,757","34,418","9,857","5,213","1,690","3,847","2,315",,"206","660","14,454","143,680","316,991",
"9","DISTRITO FEDERAL","11","Distrito Federal","209","438","16,630","17,301","26,381","9,443","10,194","1,874","3,686","1,643",,"329","397","10,155","98,033","248,240",
"9","DISTRITO FEDERAL","12","Distrito Federal","244","506","21,746","22,021","27,045","8,962","7,851","1,959","3,217","2,166",,"304","642","13,065","108,978","291,428",
"9","DISTRITO FEDERAL","13","Distrito Federal","210","427","17,295","18,174","25,805","9,711","9,001","2,308","3,780","2,068",,"296","379","10,342","99,159","246,511",
"9","DISTRITO FEDERAL","14","Distrito Federal","141","405","12,677","11,975","30,003","9,895","9,011","3,529","3,104","1,917",,"419","346","10,402","93,278","251,307",
"9","DISTRITO FEDERAL","15","Distrito Federal","254","596","61,266","26,368","18,949","9,501","9,049","2,471","4,631","4,716",,"422","1,272","21,170","159,815","349,446",
"9","DISTRITO FEDERAL","16","Distrito Federal","219","495","18,358","17,376","32,668","11,059","9,980","3,455","3,805","2,442","497","400","281","12,513","112,834","288,205",
"9","DISTRITO FEDERAL","17","Distrito Federal","188","502","33,872","18,617","35,576","11,057","7,756","1,804","5,346","2,641",,"298","427","13,043","130,437","303,890",
"9","DISTRITO FEDERAL","18","Distrito Federal","187","423","11,915","17,094","25,421","9,583","16,923","1,497","3,628","5,139",,"451","288","11,651","103,590","250,291",
"9","DISTRITO FEDERAL","19","Distrito Federal","164","402","9,392","11,117","24,824","9,199","27,546","1,403","3,231","1,575",,"374","238","8,600","97,499","246,832",
"9","DISTRITO FEDERAL","20","Distrito Federal","234","489","21,232","20,557","24,531","12,195","24,373","1,641","4,504","1,811",,"337","395","12,451","124,027","275,097",
"9","DISTRITO FEDERAL","21","Distrito Federal","129","391","10,680","18,421","30,383","8,300","7,258","3,755","3,481","1,662",,"225","274","9,357","93,796","243,956",
"9","DISTRITO FEDERAL","22","Distrito Federal","152","418","7,213","8,908","28,348","8,298","19,479","1,228","2,845","7,708",,"324","214","12,115","96,680","256,217",
"9","DISTRITO FEDERAL","23","Distrito Federal","201","470","27,362","15,783","34,912","8,562","12,905","2,739","2,674","2,769",,"409","750","15,146","124,011","282,230",
"9","DISTRITO FEDERAL","24","Distrito Federal","202","470","40,973","20,300","25,998","9,104","9,149","2,452","3,739","2,527",,"383","819","16,366","131,810","277,686",
"9","DISTRITO FEDERAL","25","Distrito Federal","166","421","12,691","12,434","28,561","9,667","16,238","1,967","4,042","3,068",,"330","322","10,066","99,386","258,511",
"9","DISTRITO FEDERAL","26","Distrito Federal","259","533","35,688","21,846","28,420","10,374","9,784","2,316","3,479","2,674",,"294","716","15,139","130,730","300,120",
"9","DISTRITO FEDERAL","27","Distrito Federal","133","393","10,190","13,978","22,401","9,188","8,570","3,569","3,776","3,429",,"299","170","8,176","83,746","241,393",
"10","DURANGO","1","Victoria de Durango","410","610","26,615","53,597","5,522","5,015","6,410","352","1,800","524",,"170","51","3,700","103,756","259,555",
"10","DURANGO","2","Gómez Palacio","255","566","27,135","79,460","5,000","6,577","2,992","635","3,865","530",,"167","147","5,289","131,797","312,093",
"10","DURANGO","3","Guadalupe Victoria","490","693","31,364","56,385","5,227","4,656","10,173","318","4,258","372",,"160","45","3,510","116,468","284,250",
"10","DURANGO","4","Victoria de Durango","220","501","32,266","57,894","6,599","8,004","10,454","601","3,287","1,517",,"176","162","7,705","128,665","289,274",
"11","GUANAJUATO","1","San Luis de la Paz","215","396","43,913","26,282","11,939","8,969","1,183","2,478","2,330","3,983",,"72","48","4,874","106,071","210,337",
"11","GUANAJUATO","2","San Miguel de Allende","208","403","40,454","28,121","15,587","11,245","3,123","4,751","5,532","1,522",,"73","84","5,513","116,005","223,989",
"11","GUANAJUATO","3","León","191","500","64,196","43,376","2,117","18,235","1,646","778","3,649","773",,"120","213","6,098","141,201","301,495",
"11","GUANAJUATO","4","Guanajuato","211","487","52,601","35,124","5,993","12,474","3,204","4,377","2,918","1,174",,"105","148","6,510","124,628","277,249",
"11","GUANAJUATO","5","León","228","512","69,380","42,965","1,984","19,885","1,641","819","3,107","812",,"182","238","6,757","147,770","298,223",
"11","GUANAJUATO","6","León","203","497","60,127","46,843","2,775","20,609","1,769","754","3,643","814",,"74","219","6,184","143,811","302,100",
"11","GUANAJUATO","7","San Francisco del Rincón","212","474","67,263","34,468","8,471","9,327","1,530","450","4,469","4,085",,"22","85","4,438","134,608","269,073",
"11","GUANAJUATO","8","Salamanca","226","503","64,706","34,604","6,774","23,772","2,215","1,860","5,541","1,641",,"76","104","4,712","146,005","287,020",
"11","GUANAJUATO","9","Irapuato","202","475","55,134","41,441","3,429","9,149","1,502","968","3,149","1,254",,"61","99","4,944","121,130","274,067",
"11","GUANAJUATO","10","Uriangato","246","496","43,536","32,279","11,212","28,615","2,134","2,459","1,775","1,837","477","21","60","4,201","128,606","272,634",
"11","GUANAJUATO","11","Pénjamo","242","454","64,769","31,525","10,489","3,657","3,078","877","1,858","438",,"58","14","3,248","120,011","248,901",
"11","GUANAJUATO","12","Celaya","188","441","48,497","27,873","4,926","22,947","2,176","1,555","3,100","1,632",,"88","128","5,797","118,719","260,161",
"11","GUANAJUATO","13","Valle de Santiago","199","452","49,586","18,531","25,140","14,993","3,302","1,352","6,468","955",,"122","107","4,519","125,075","256,874",
"11","GUANAJUATO","14","Acámbaro","256","482","41,373","23,741","21,536","9,132","2,511","12,476","2,596","403",,"171","62","4,943","118,944","264,541",
"12","GUERRERO","1","Ciudad Altamirano","421","572","16,352","37,880","35,198","1,412","448","475","1,481","77",,"53","9","1,589","94,974","245,280",
"12","GUERRERO","2","Iguala","409","613","11,224","27,967","17,560","6,498","4,047","755","3,889","4,819",,"201","58","3,551","80,569","272,512",
"12","GUERRERO","3","Zihuatanejo","344","539","3,141","38,198","45,180","1,835","849","392","1,772","222",,"62","16","2,192","93,859","248,528",
"12","GUERRERO","4","Acapulco","221","514","9,517","22,019","15,874","4,503","2,335","20,208","1,216","865","4,383","1,120","151","4,633","86,824","297,976",
"12","GUERRERO","5","Tlapa","302","491","5,369","29,983","27,094","1,534","4,965","1,751","1,966","201",,"193","7","3,084","76,147","231,424",
"12","GUERRERO","6","Chilapa","330","524","6,878","36,459","31,967","4,031","3,422","2,234","1,768","285",,"136","30","3,618","90,828","254,673",
"12","GUERRERO","7","Chilpancingo","253","490","4,843","37,525","10,373","4,918","1,739","4,872","5,263","314",,"338","59","4,006","74,250","261,270",
"12","GUERRERO","8","Ayutla de los Libres","316","477","11,202","36,376","16,696","6,240","2,726","519","1,506","203",,"102","7","2,216","77,793","223,562",
"12","GUERRERO","9","Acapulco","161","456","8,231","24,031","19,730","3,762","1,934","7,502","1,646","812","3,297","424","77","3,895","75,341","274,373",
"13","HIDALGO","1","Huejutla de Reyes","268","445","13,816","54,039","32,772","3,307","1,844","3,823","6,681","1,095",,"96","21","4,739","122,233","232,733",
"13","HIDALGO","2","Ixmiquilpan","376","552","12,000","47,811","26,016","5,669","1,591","2,825","3,277","1,769",,"123","20","4,198","105,299","258,946",
"13","HIDALGO","3","Actopan","295","508","9,885","54,648","10,583","3,012","5,570","1,286","32,406","1,077","2,007","168","84","3,836","124,562","268,657",
"13","HIDALGO","4","Tulancingo de Bravo","196","415","14,447","37,457","10,979","9,565","1,740","3,124","4,725","1,600",,"196","72","4,076","87,981","227,965",
"13","HIDALGO","5","Tula de Allende","214","459","19,797","45,910","13,415","11,372","2,224","2,956","4,103","1,956",,"126","68","3,932","105,859","263,283",
"13","HIDALGO","6","Pachuca de Soto","159","430","27,955","44,488","4,791","13,189","3,019","1,098","4,717","2,449",,"191","184","6,256","108,337","260,366",
"13","HIDALGO","7","Tepeapulco","209","472","21,003","39,730","6,064","8,553","3,450","2,151","30,320","1,547",,"173","230","4,480","117,701","275,872",
"14","JALISCO","1","Tequila","224","471","51,904","40,382","23,605","13,665","5,307","6,628","5,994","1,239",,"414","58","5,599","154,795","253,974",
"14","JALISCO","2","Lagos de Moreno","192","452","50,563","58,931","8,113","11,727","1,240","369","2,773","404",,"49","37","6,281","140,487","256,639",
"14","JALISCO","3","Tepatitlán de Morelos","205","477","63,002","47,792","3,690","11,401","865","8,153","2,926","448",,"93","971","7,088","146,429","270,503",
"14","JALISCO","4","Zapopan","107","411","37,562","56,453","3,112","10,580","3,810","1,138","3,063","1,389",,"93","172","7,684","125,056","265,173",
"14","JALISCO","5","Puerto Vallarta","190","492","58,809","53,887","7,106","12,976","2,044","2,708","2,947","565",,"134","53","5,931","147,160","281,755",
"14","JALISCO","6","Zapopan","123","454","53,074","49,310","3,301","11,851","3,116","1,357","3,718","1,639","509","38","416","10,745","139,074","287,593",
"14","JALISCO","7","Tonalá","81","375","35,441","54,707","3,633","7,544","4,558","1,382","3,137","1,197","988","51","90","5,500","118,228","249,201",
"14","JALISCO","8","Guadalajara","251","483","48,418","59,970","2,926","9,784","2,787","1,304","3,437","1,665",,"124","307","10,699","141,421","265,191",
"14","JALISCO","9","Guadalajara","159","419","41,303","55,625","3,253","9,429","3,492","1,151","3,711","1,412","857","62","183","7,460","127,938","255,174",
"14","JALISCO","10","Zapopan","103","408","49,256","38,165","3,473","13,020","2,666","1,524","2,877","1,689",,"159","368","10,289","123,486","264,375","El TEPJF recompuso el cómputo tomando en cuenta los votos por partido político; en el total  además de no considerar los votos nulos  los restó siendo diferentes   los resultados con los del cómputo distrital."
"14","JALISCO","11","Guadalajara","174","428","37,274","55,744","3,018","9,931","3,394","1,422","6,531","1,189",,"124","145","6,705","125,477","258,183",
"14","JALISCO","12","Tlajomulco de Zúñiga","102","501","52,911","55,798","22,967","13,667","3,580","2,229","3,757","1,213",,"83","140","7,467","163,812","332,676",
"14","JALISCO","13","Guadalajara","230","474","42,595","50,921","3,232","11,542","4,213","1,542","9,053","1,598",,"175","207","8,854","133,932","266,210",
"14","JALISCO","14","Guadalajara","167","435","47,558","44,214","4,476","13,650","3,359","1,429","3,738","1,596",,"109","213","8,593","128,935","262,637",
"14","JALISCO","15","La Barca","193","462","55,792","50,745","6,916","10,675","8,494","2,218","3,389","606",,"177","61","6,190","145,263","268,720",
"14","JALISCO","16","Tlaquepaque","158","439","46,467","47,629","4,618","12,085","3,581","1,768","3,171","1,453",,"50","115","6,750","127,687","268,243",
"14","JALISCO","17","Jocotepec","207","489","55,946","49,658","12,548","18,955","5,973","5,644","3,056","1,394",,"89","75","6,824","160,162","275,635","El TEPJF recompuso el cómputo tomando en cuenta los votos para los candidatos; existe un voto nulo de menos en la recomposición."
"14","JALISCO","18","Autlán de Navarro","234","504","59,947","49,846","13,723","8,982","3,013","11,609","3,395","1,266",,"456","55","5,853","158,145","281,117",
"14","JALISCO","19","Ciudad Guzmán","246","502","51,987","51,247","17,442","14,368","3,640","3,231","2,121","1,919",,"55","107","6,966","153,083","269,763",
"15","MEXICO","1","Jilotepec de Andrés Molina Enríquez","189","415","31,398","70,902","23,548","2,914","7,237","6,042","2,568","727","1,259","64","73","4,858","151,590","223,018",
"15","MEXICO","2","Teoloyucán","126","401","42,796","54,535","11,382","4,836","3,849","13,932","3,619","1,433","1,072","216","150","4,347","142,167","246,026",
"15","MEXICO","3","Atlacomulco de Fabela","162","377","36,226","56,479","9,608","2,164","2,272","9,567","2,729","735","2,613","141","73","5,877","128,484","207,811",
"15","MEXICO","4","Nicolás Romero","138","461","25,839","57,769","25,523","7,786","4,887","2,403","7,986","1,584","1,312","93","251","6,927","142,360","293,210",
"15","MEXICO","5","Teotihuacán de Arista","177","451","28,678","65,065","38,062","4,756","8,113","8,735","4,118","1,378","1,536","166","162","5,563","166,332","265,557",
"15","MEXICO","6","Coacalco de Berriozábal","136","448","23,315","53,191","33,886","7,516","4,852","3,077","5,044","1,673","794","139","243","7,586","141,316","282,124",
"15","MEXICO","7","Cuautitlán Izcalli","182","473","44,004","60,796","8,092","9,514","7,671","2,609","5,478","2,538","648","98","414","9,036","150,898","286,912",
"15","MEXICO","8","Tultitlán de Mariano Escobedo","125","342","11,708","37,852","19,804","5,952","3,397","7,130","2,788","1,092","1,249","240","172","5,472","96,856","208,193",
"15","MEXICO","9","Ixtlahuaca de Rayón","141","415","37,621","57,787","10,426","4,878","5,891","22,746","3,377","920",,"341","65","7,192","151,244","247,897",
"15","MEXICO","10","Ecatepec de Morelos","164","477","17,624","54,813","29,011","9,001","3,578","3,000","4,226","1,555","1,954","223","212","7,265","132,462","292,868",
"15","MEXICO","11","Ecatepec de Morelos","151","412","18,233","48,198","24,000","7,302","3,575","3,484","5,750","1,472","873","115","207","7,710","120,919","252,929",
"15","MEXICO","12","Ixtapaluca","214","503","20,742","57,867","23,739","6,727","6,258","10,130","6,028","1,835","1,371","170","328","7,621","142,816","301,114",
"15","MEXICO","13","Ecatepec de Morelos","170","425","14,531","43,818","23,815","6,671","3,600","4,910","3,795","1,372","1,241","167","196","7,101","111,217","248,950",
"15","MEXICO","14","Ciudad Adolfo Lopéz Mateos","114","414","39,085","39,340","9,902","7,693","4,483","1,915","5,291","1,704","666","119","243","7,405","117,846","263,560",
"15","MEXICO","15","Tlalnepantla de Baz","166","443","52,355","38,010","7,880","8,847","4,573","2,577","3,339","1,855",,"291","424","11,438","131,589","268,602",
"15","MEXICO","16","Ecatepec de Morelos","137","449","24,159","48,940","20,359","6,971","3,976","3,245","5,177","1,171","1,202","130","139","6,431","121,900","287,812",
"15","MEXICO","17","Ecatepec de Morelos","161","421","12,944","42,357","24,309","7,558","3,785","3,664","5,433","1,538","734","101","301","7,600","110,324","252,066",
"15","MEXICO","18","Huixquilucan de Degollado","151","440","40,906","62,151","23,166","6,102","8,627","5,630","3,314","1,426","955","348","250","7,244","160,119","273,499",
"15","MEXICO","19","Tlalnepantla de Baz","188","426","40,461","41,758","10,247","7,844","4,648","2,329","3,302","1,588",,"139","260","8,194","120,770","245,714",
"15","MEXICO","20","Ciudad Nezahualcóyotl","155","371","12,070","33,978","20,291","8,570","3,801","3,620","3,587","1,232",,"438","284","7,519","95,390","219,583",
"15","MEXICO","21","Naucalpan de Juárez","129","373","34,773","44,391","5,932","6,079","3,614","1,570","2,569","1,369","822","55","366","8,701","110,241","232,304",
"15","MEXICO","22","Naucalpan de Juárez","195","389","37,573","36,372","5,837","5,726","3,418","1,349","3,222","1,207","646","101","344","8,126","103,921","220,346",
"15","MEXICO","23","Valle de Bravo","181","421","23,926","58,428","33,441","4,226","15,493","4,856","2,498","984","2,215","139","62","7,748","154,016","234,256",
"15","MEXICO","24","Naucalpan de Juárez","132","362","28,331","39,585","6,798","4,828","3,253","2,314","2,455","948","794","76","155","5,260","94,797","217,716",
"15","MEXICO","25","Chimalhuacán","105","362","8,242","38,415","21,147","5,629","2,698","6,776","3,375","1,614",,"422","81","5,157","93,556","233,835",
"15","MEXICO","26","Toluca de Lerdo","128","418","44,357","77,114","4,674","8,166","3,723","2,068","2,578","1,266","1,641","71","180","5,990","151,828","261,760",
"15","MEXICO","27","Metepec","135","400","42,590","63,267","8,706","6,345","13,019","3,879","3,097","1,400","996","81","224","6,585","150,189","248,166",
"15","MEXICO","28","Zumpango de Ocampo","128","475","68,844","62,711","17,389","4,446","3,985","3,270","2,790","1,031","1,321","207","211","5,942","172,147","304,230","El TEPJF recompuso el cómputo tomando en cuenta los votos por partido político."
"15","MEXICO","29","Ciudad Nezahualcóyotl","183","406","10,537","36,692","23,199","8,524","4,670","4,061","3,072","1,168",,"301","165","7,041","99,430","230,971",
"15","MEXICO","30","Ciudad Nezahualcóyotl","175","405","10,059","33,122","25,012","8,084","6,049","3,559","3,340","1,392",,"439","237","6,701","97,994","240,093",
"15","MEXICO","31","Ciudad Nezahualcóyotl","167","401","8,617","29,664","27,729","6,890","3,508","4,575","3,134","1,370",,"232","272","6,535","92,526","234,208","El TEPJF descontó los votos de la casilla anulada tomando en cuenta  los resultados del Acta de Escrutinio y Cómputo de Casilla  siendo que ésta se recontó."
"15","MEXICO","32","Xico","115","365","5,209","38,908","31,744","3,803","2,307","15,140","2,337","1,305","944","314","129","5,423","107,563","227,389",
"15","MEXICO","33","Chalco de Díaz Covarrubias","169","466","16,073","62,262","26,598","5,777","5,596","29,244","3,452","1,758","1,575","401","137","6,841","159,714","285,743",
"15","MEXICO","34","Toluca de Lerdo","146","431","45,446","69,879","5,415","9,562","4,537","2,453","3,454","1,830","1,014","83","292","6,823","150,788","267,743",
"15","MEXICO","35","Tenancingo de Degollado","146","395","25,136","53,073","20,908","4,129","8,074","10,006","4,021","1,236","1,102","281","94","4,925","132,985","228,617",
"15","MEXICO","36","Tejupilco de Hidalgo","251","483","28,809","57,343","34,500","2,029","8,982","2,875","1,775","448",,"210","46","4,358","141,375","225,717",
"15","MEXICO","37","Cuautitlán","128","383","21,323","41,372","22,565","6,167","3,853","13,080","4,563","1,427","556","286","200","5,611","121,003","235,541",
"15","MEXICO","38","Texcoco de Mora","137","425","7,835","59,721","36,968","4,963","2,658","2,843","3,223","1,359","1,949","147","151","5,752","127,569","257,402",
"15","MEXICO","39","Los Reyes Acaquilpan","114","384","6,962","48,862","31,981","5,289","3,495","8,612","3,322","1,317","1,255","174","158","5,754","117,181","244,900",
"15","MEXICO","40","San Miguel Zinacantepec","142","380","32,714","45,633","24,456","3,933","10,536","4,480","2,411","1,043","1,356","289","107","4,738","131,696","221,950",
"16","MICHOACAN","1","Lázaro Cárdenas","184","442","11,314","25,405","27,256","4,010","2,224","444","1,205","257",,"72","33","3,520","75,740","245,430",
"16","MICHOACAN","2","Puruándiro","268","543","16,538","26,982","33,881","7,092","4,918","494","1,247","355",,"178","54","5,070","96,809","303,136",
"16","MICHOACAN","3","Heroica Zitácuaro","237","440","16,132","21,048","21,559","7,114","5,813","545","3,500","414",,"103","68","4,911","81,207","237,645",
"16","MICHOACAN","4","Jiquilpan de Juárez","259","530","26,217","24,782","24,799","6,715","1,646","1,742","1,410","232",,"171","79","4,364","92,157","276,011",
"16","MICHOACAN","5","Zamora de Hidalgo","225","501","30,593","20,350","13,475","9,716","3,840","643","1,955","393",,"159","104","5,264","86,492","286,368",
