"ESTADO","NOMBRE ESTADO","DISTRITO","CABECERA DISTRITAL","SECCIONES","CASILLAS"," PAN"," APM"," PBT"," NUEVA ALIANZA"," ASDC"," CANDIDATOS NO REGISTRADOS"," NULOS","TOTAL VOTOS","LISTA NOMINAL"
"8","CHIHUAHUA","3","Juárez","236","468","64,827","33,270","16,776","6,855","2,973","193","1,927","126,821","263,937"
"8","CHIHUAHUA","4","Juárez","222","440","37,528","38,897","15,459","5,481","2,231","437","2,402","102,435","241,725"
"8","CHIHUAHUA","5","Delicias","392","601","62,444","59,590","15,263","6,569","1,408","223","3,302","148,799","286,026"
"8","CHIHUAHUA","6","Chihuahua","303","525","79,870","60,039","20,360","6,938","1,573","380","3,141","172,301","284,298"
"8","CHIHUAHUA","7","Cuauhtémoc","506","666","36,863","56,327","27,785","4,876","1,100","137","4,107","131,195","284,048"
"8","CHIHUAHUA","8","Chihuahua","264","496","62,069","53,724","13,084","8,942","1,994","621","3,199","143,633","262,189"
"8","CHIHUAHUA","9","Hidalgo del Parral","437","594","40,284","50,838","11,981","5,855","1,080","190","4,871","115,099","248,396"
"9","DISTRITO FEDERAL","1","Gustavo A. Madero","159","374","23,095","12,457","90,927","6,673","4,721","355","2,676","140,904","227,195"
"9","DISTRITO FEDERAL","2","Gustavo A. Madero","260","508","63,129","22,044","79,304","9,972","7,069","374","2,914","184,806","270,715"
"9","DISTRITO FEDERAL","3","Azcapotzalco","241","487","54,490","23,941","96,056","9,943","7,070","347","3,081","194,928","282,230"
"9","DISTRITO FEDERAL","4","Iztapalapa","189","411","34,454","17,029","94,164","8,600","6,381","380","2,953","163,961","239,947"
"9","DISTRITO FEDERAL","5","Tlalpan","213","424","59,089","20,583","76,302","7,249","6,961","302","2,532","173,018","239,165"
"9","DISTRITO FEDERAL","6","Gustavo A. Madero","217","451","33,581","20,111","99,843","8,721","5,986","376","3,214","171,832","262,916"
"9","DISTRITO FEDERAL","7","Gustavo A. Madero","222","471","45,408","23,998","100,917","9,574","7,715","442","3,035","191,089","278,671"
"9","DISTRITO FEDERAL","8","Cuauhtémoc","251","530","55,825","26,417","96,607","9,751","7,202","384","3,150","199,336","295,195"
"9","DISTRITO FEDERAL","9","Venustiano Carranza","217","452","42,820","22,685","88,660","9,667","7,337","477","3,128","174,774","265,338"
"9","DISTRITO FEDERAL","10","Miguel Hidalgo","271","552","84,554","26,993","80,248","8,982","6,279","351","2,898","210,305","309,429"
"9","DISTRITO FEDERAL","11","Venustiano Carranza","209","432","39,910","19,430","84,998","10,696","6,055","411","2,718","164,218","243,631"
"9","DISTRITO FEDERAL","12","Cuauhtémoc","244","501","48,506","24,022","86,548","8,812","8,432","266","3,516","180,102","286,170"
"9","DISTRITO FEDERAL","13","Iztacalco","210","427","38,863","20,170","90,183","8,923","5,747","383","2,865","167,134","243,948"
"9","DISTRITO FEDERAL","14","Tlalpan","141","381","28,453","14,589","99,052","7,266","5,957","206","3,235","158,758","234,091"
"9","DISTRITO FEDERAL","15","Benito Juárez","254","575","107,577","29,253","76,281","9,450","11,713","347","3,110","237,731","336,431"
"9","DISTRITO FEDERAL","16","Alvaro Obregón","219","487","42,457","18,610","107,430","9,818","6,950","311","3,702","189,278","281,515"
"9","DISTRITO FEDERAL","17","Alvaro Obregón","188","480","53,348","20,756","93,889","12,152","7,979","443","4,512","193,079","284,258"
"9","DISTRITO FEDERAL","18","Iztapalapa","187","415","29,925","19,741","87,916","9,104","6,890","299","3,083","156,958","243,789"
"9","DISTRITO FEDERAL","19","Iztapalapa","164","385","24,551","15,201","94,819","8,112","5,403","461","2,929","151,476","237,359"
"9","DISTRITO FEDERAL","20","Iztapalapa","234","484","47,586","22,282","97,400","11,237","7,699","481","3,348","190,033","272,348"
"9","DISTRITO FEDERAL","21","Xochimilco","129","364","25,132","19,940","85,790","9,832","5,479","425","3,447","150,045","223,775"
"9","DISTRITO FEDERAL","22","Iztapalapa","152","392","18,341","13,172","96,556","7,108","5,152","542","3,120","143,991","242,051"
"9","DISTRITO FEDERAL","23","Coyoacán","201","462","48,370","19,759","103,648","8,463","7,745","425","3,187","191,597","272,337"
"9","DISTRITO FEDERAL","24","Coyoacán","202","472","72,201","24,581","83,322","8,611","9,303","183","2,861","201,062","276,014"
"9","DISTRITO FEDERAL","25","Iztapalapa","166","403","28,606","16,161","97,632","9,249","7,098","385","3,437","162,568","245,418"
"9","DISTRITO FEDERAL","26","La Magdalena Contreras","260","523","67,297","22,552","94,577","9,629","8,111","350","3,773","206,289","292,871"
"9","DISTRITO FEDERAL","27","Tláhuac","133","365","22,765","23,816","85,649","8,464","5,762","203","3,122","149,781","224,311"
"10","DURANGO","1","Durango","411","569","43,980","45,751","15,600","3,923","958","391","3,231","113,834","233,583"
"10","DURANGO","2","Gómez Palacio","255","527","52,419","75,489","27,894","2,846","1,435","323","2,742","163,148","283,344"
"10","DURANGO","3","Guadalupe Victoria","492","663","47,291","48,532","27,357","5,223","1,021","555","3,325","133,304","267,081"
"10","DURANGO","4","Durango","220","473","68,695","49,444","24,903","6,627","1,647","569","2,803","154,688","268,044"
"11","GUANAJUATO","1","San Luis de la Paz","217","372","49,134","25,936","16,482","1,319","1,605","430","5,078","99,984","189,099"
"11","GUANAJUATO","2","Allende","208","373","59,929","17,967","21,482","3,839","3,260","347","4,899","111,723","200,978"
"11","GUANAJUATO","3","León","191","457","109,257","35,984","11,741","5,092","3,907","801","3,585","170,367","267,481"
"11","GUANAJUATO","4","Guanajuato","211","451","69,512","39,772","15,554","4,949","2,800","484","4,693","137,764","251,051"
"11","GUANAJUATO","5","León","228","479","123,504","32,475","12,311","5,151","3,641","677","3,549","181,308","276,373"
"11","GUANAJUATO","6","León","203","468","113,751","38,009","14,455","5,315","3,210","928","3,257","178,925","280,326"
"11","GUANAJUATO","7","San Francisco del Rincón","212","436","77,207","33,675","16,531","5,303","1,484","324","3,463","137,987","244,218"
"11","GUANAJUATO","8","Salamanca","226","472","90,494","34,217","19,762","5,300","3,106","561","3,916","157,356","263,497"
"11","GUANAJUATO","9","Irapuato","202","442","86,132","33,194","15,113","4,094","2,160","644","2,862","144,199","255,355"
"11","GUANAJUATO","10","Uriangato","246","456","57,885","31,220","21,518","4,817","2,525","578","4,378","122,921","250,147"
"11","GUANAJUATO","11","Pénjamo","242","429","57,828","33,516","16,864","2,754","1,197","436","4,433","117,028","229,036"
"11","GUANAJUATO","12","Celaya","188","407","84,362","23,572","15,839","5,250","4,565","587","2,675","136,850","236,773"
"11","GUANAJUATO","13","Valle de Santiago","199","431","66,929","19,035","26,881","6,159","2,121","447","3,476","125,048","238,538"
"11","GUANAJUATO","14","Acámbaro","256","449","49,606","23,981","32,401","3,670","2,175","558","5,260","117,651","242,209"
"12","GUERRERO","1","Pungarabato","422","558","12,382","35,198","49,651","2,709","557","59","2,614","103,170","229,227"
"12","GUERRERO","2","Iguala de la Independencia","411","595","26,929","39,964","47,915","5,034","2,133","394","3,328","125,697","254,787"
"12","GUERRERO","3","José Azueta","344","522","11,374","26,349","60,240","6,987","1,204","126","2,644","108,924","229,596"
"12","GUERRERO","4","Acapulco de Juárez","221","494","21,748","29,134","65,230","9,316","3,607","679","3,487","133,201","282,702"
"12","GUERRERO","5","Tlapa de Comonfort","301","461","6,779","30,748","46,297","2,155","653","120","4,215","90,967","209,286"
"12","GUERRERO","6","Chilapa de Alvarez","330","501","10,796","40,177","42,696","3,778","915","274","3,781","102,417","235,200"
"12","GUERRERO","7","Chilpancingo de los Bravo","253","459","14,818","41,523","45,133","8,213","1,416","318","3,047","114,468","237,843"
"12","GUERRERO","8","Ayutla de los Libres","317","458","5,948","28,315","44,382","4,170","604","158","3,248","86,825","205,086"
"12","GUERRERO","9","Acapulco de Juárez","161","423","18,853","24,110","50,457","7,080","2,448","687","3,569","107,204","251,486"
"13","HIDALGO","1","Huejutla de Reyes","268","418","23,421","45,781","42,906","7,433","1,005","265","6,965","127,776","215,504"
"13","HIDALGO","2","Ixmiquilpan","376","528","19,367","46,579","45,458","6,310","1,421","367","4,066","123,568","238,213"
"13","HIDALGO","3","Actopan","295","488","24,169","46,325","47,294","9,905","1,964","383","3,621","133,661","244,495"
"13","HIDALGO","4","Tulancingo de Bravo","196","382","25,008","38,156","36,194","5,285","1,626","425","3,383","110,077","207,746"
"13","HIDALGO","5","Tula de Allende","214","424","36,056","49,744","47,485","7,222","3,837","430","3,025","147,799","240,886"
"13","HIDALGO","6","Pachuca de Soto","148","392","57,025","41,141","33,351","9,650","3,834","475","2,917","148,393","233,601"
"13","HIDALGO","7","Tepeapulco","209","417","38,506","41,950","44,150","9,928","2,929","529","3,404","141,396","241,282"
"14","JALISCO","1","Tequila","223","437","54,940","48,527","23,241","6,026","2,040","216","4,486","139,476","230,505"
"14","JALISCO","2","Lagos de Moreno","192","421","73,755","40,583","12,150","4,409","1,713","284","3,964","136,858","234,547"
"14","JALISCO","3","Tepatitlán de Morelos","206","443","83,299","46,312","6,739","4,326","2,474","213","3,751","147,114","246,669"
"14","JALISCO","4","Zapopan","107","375","64,786","50,033","17,362","8,840","3,666","440","2,806","147,933","241,658"
"14","JALISCO","5","Puerto Vallarta","190","447","52,857","47,559","24,661","5,226","2,077","139","3,839","136,358","247,120"
"14","JALISCO","6","Zapopan","122","405","86,210","48,886","15,213","7,808","3,799","322","2,495","164,733","259,049"
"14","JALISCO","7","Tonalá","81","331","51,289","45,474","14,141","8,448","3,177","375","2,945","125,849","214,614"
"14","JALISCO","8","Guadalajara","251","487","92,889","49,430","19,571","10,997","4,786","328","2,910","180,911","266,379"
"14","JALISCO","9","Guadalajara","159","407","67,827","47,514","25,554","9,124","3,347","283","3,245","156,894","247,761"
"14","JALISCO","10","Zapopan","103","376","81,313","44,860","15,149","7,609","3,818","314","2,456","155,519","241,920"
"14","JALISCO","11","Guadalajara","174","421","65,337","49,584","19,771","10,961","3,430","511","3,253","152,847","251,201"
"14","JALISCO","12","Tlajomulco de Zúñiga","102","400","62,341","53,308","22,300","9,525","3,174","451","3,708","154,807","258,646"
"14","JALISCO","13","Guadalajara","230","468","81,208","51,390","18,942","11,050","4,414","449","3,054","170,507","263,063"
"14","JALISCO","14","Guadalajara","167","424","86,589","41,914","18,884","9,989","4,307","400","2,836","164,919","256,731"
"14","JALISCO","15","La Barca","192","436","67,543","50,911","14,706","4,987","1,043","179","3,458","142,827","245,713"
"14","JALISCO","16","Tlaquepaque","158","400","68,771","45,108","16,652","9,669","3,337","454","3,172","147,163","243,672"
"14","JALISCO","17","Jocotepec","207","452","58,653","47,246","28,248","6,205","3,227","206","4,365","148,150","250,986"
"14","JALISCO","18","Autlán de Navarro","234","480","58,573","49,146","25,620","7,732","2,360","182","4,031","147,644","259,669"
"14","JALISCO","19","Zapotlán El Grande","246","481","53,548","61,755","25,441","4,833","2,695","304","3,837","152,413","251,496"
"15","MEXICO","1","Jilotepec","189","381","31,895","46,880","33,177","5,229","1,659","479","4,104","123,423","198,385"
"15","MEXICO","2","Teoloyucán","126","361","38,540","35,245","38,652","8,589","3,490","596","2,490","127,602","211,289"
"15","MEXICO","3","Atlacomulco","162","342","27,020","45,311","27,013","5,082","1,385","513","4,076","110,400","185,901"
"15","MEXICO","4","Nicolás Romero","138","424","48,525","37,159","48,214","12,101","5,016","686","2,887","154,588","263,329"
"15","MEXICO","5","Teotihuacán","176","410","33,371","38,210","63,137","7,500","3,528","653","2,909","149,308","233,533"
"15","MEXICO","6","Coacalco de Berriozábal","136","402","44,634","38,553","60,891","10,921","7,641","576","2,375","165,591","250,849"
"15","MEXICO","7","Cuautitlán Izcalli","182","453","72,413","31,792","54,469","13,455","8,537","492","2,538","183,696","271,198"
"15","MEXICO","8","Tultitlán","125","320","28,661","26,142","47,563","9,600","5,249","552","2,042","119,809","190,696"
"15","MEXICO","9","Ixtlahuaca","141","371","29,118","45,380","40,013","5,719","2,204","794","4,912","128,140","216,879"
"15","MEXICO","10","Ecatepec de Morelos","164","417","37,317","27,801","71,596","9,501","5,800","666","2,585","155,266","252,440"
"15","MEXICO","11","Ecatepec de Morelos","151","402","39,613","32,611","66,578","9,041","6,106","550","2,446","156,945","243,645"
"15","MEXICO","12","Ixtapaluca","214","435","26,618","32,290","72,435","9,723","6,256","588","4,487","152,397","250,003"
"15","MEXICO","13","Ecatepec de Morelos","170","421","36,481","25,779","71,305","8,500","5,948","554","2,555","151,122","245,143"
"15","MEXICO","14","Atizapán de Zaragoza","114","385","59,624","28,615","47,898","8,119","6,040","471","2,540","153,307","242,508"
"15","MEXICO","15","Tlalnepantla de Baz","166","442","86,311","26,988","43,698","9,409","6,429","412","2,360","175,607","261,562"
"15","MEXICO","16","Ecatepec de Morelos","137","424","39,893","31,220","60,902","14,488","4,392","548","3,838","155,281","270,249"
"15","MEXICO","17","Ecatepec de Morelos","161","403","34,901","27,549","69,695","10,005","6,237","408","2,317","151,112","236,745"
"15","MEXICO","18","Huixquilucan","151","416","56,683","41,694","50,321","7,640","4,611","617","3,218","164,784","248,317"
"15","MEXICO","19","Tlalnepantla de Baz","188","420","58,194","26,672","58,676","9,942","5,776","314","2,433","162,007","243,288"
"15","MEXICO","20","Nezahualcóyotl","155","366","32,346","24,302","64,125","8,451","5,426","395","2,088","137,133","218,131"
"15","MEXICO","21","Naucalpan de Juárez","129","358","58,714","26,657","38,127","6,499","5,092","412","2,188","137,689","217,830"
"15","MEXICO","22","Naucalpan de Juárez","197","389","60,418","27,658","38,283","6,511","5,163","365","2,267","140,665","220,430"
"15","MEXICO","23","Valle de Bravo","181","376","31,788","41,744","36,824","5,104","1,791","817","4,301","122,369","203,500"
"15","MEXICO","24","Naucalpan de Juárez","132","349","36,761","26,124","45,148","6,606","4,390","565","2,216","121,810","210,336"
"15","MEXICO","25","Chimalhuacán","105","332","17,620","35,783","47,053","6,332","3,333","614","2,531","113,266","204,524"
"15","MEXICO","26","Toluca","128","373","71,449","41,707","25,073","7,436","4,164","697","2,952","153,478","232,536"
"15","MEXICO","27","Metepec","135","369","60,643","32,942","36,509","8,255","3,794","359","2,883","145,385","220,695"
"15","MEXICO","28","Zumpango","128","378","40,579","47,411","44,663","8,586","4,311","644","2,967","149,161","235,967"
"15","MEXICO","29","Nezahualcóyotl","183","407","27,752","24,182","71,434","8,347","5,456","518","2,654","140,343","232,190"
"15","MEXICO","30","Nezahualcóyotl","175","403","28,635","23,019","70,087","8,842","5,532","408","2,730","139,253","239,883"
"15","MEXICO","31","Nezahualcóyotl","167","393","23,489","22,116","72,383","7,362","4,918","633","2,443","133,344","231,490"
"15","MEXICO","32","Valle de Chalco Solidaridad","115","332","17,133","26,870","59,038","7,249","4,740","594","3,082","118,706","207,260"
"15","MEXICO","33","Chalco","169","419","31,255","36,111","62,972","9,500","5,434","892","3,379","149,543","253,314"
"15","MEXICO","34","Toluca","146","408","78,804","39,521","28,941","9,372","4,673","690","2,947","164,948","249,760"
"15","MEXICO","35","Tenancingo","146","364","27,563","36,041","35,684","9,211","2,334","454","3,016","114,303","207,715"
"15","MEXICO","36","Tejupilco","251","453","25,850","43,661","32,810","1,624","838","192","3,817","108,792","204,931"
"15","MEXICO","37","Cuautitlán","128","345","32,305","28,336","47,153","9,717","4,656","7,377","2,888","132,432","207,415"
"15","MEXICO","38","Texcoco","137","390","22,010","36,891","61,097","7,085","4,245","826","2,904","135,058","232,290"
"15","MEXICO","39","La Paz","114","343","18,515","30,888","62,061","6,807","4,597","722","2,485","126,075","213,385"
"15","MEXICO","40","Zinacantepec","142","339","36,450","36,100","25,691","5,274","2,345","630","2,979","109,469","195,855"
"16","MICHOACAN","1","Lázaro Cárdenas","184","422","16,953","25,683","59,839","3,710","1,972","231","2,285","110,673","229,378"
"16","MICHOACAN","2","Puruándiro","268","502","31,361","28,359","49,758","2,450","1,432","493","2,983","116,836","274,111"
"16","MICHOACAN","3","Zitácuaro","237","418","23,551","38,022","40,889","2,960","1,293","499","3,533","110,747","219,083"
"16","MICHOACAN","4","Jiquilpan","259","497","47,488","27,333","41,535","2,719","1,241","339","2,816","123,471","253,814"
"16","MICHOACAN","5","Zamora","225","482","54,480","29,050","40,511","3,275","1,913","376","2,556","132,161","266,818"
"16","MICHOACAN","6","Hidalgo","225","445","37,744","24,259","47,394","3,633","1,638","800","4,207","119,675","243,385"
"16","MICHOACAN","7","Zacapu","235","477","32,766","36,393","50,628","3,327","1,873","441","3,071","128,499","261,358"
"16","MICHOACAN","8","Morelia","145","391","47,270","22,487","42,433","6,070","4,103","523","3,149","126,035","228,852"
"16","MICHOACAN","9","Uruapan","190","431","40,571","26,326","51,001","5,898","3,071","531","2,723","130,121","245,431"
"16","MICHOACAN","10","Morelia","204","434","68,971","26,855","42,975","6,698","4,357","486","3,633","153,975","252,473"
"16","MICHOACAN","11","Pátzcuaro","273","473","23,228","32,442","49,213","3,751","1,681","669","4,061","115,045","241,803"
"16","MICHOACAN","12","Apatzingán","230","443","23,170","26,297","49,912","1,937","1,411","249","2,598","105,574","235,608"
"17","MORELOS","1","Cuernavaca","203","456","70,517","29,580","51,775","10,426","6,682","494","3,174","172,648","270,208"
"17","MORELOS","2","Jiutepec","135","396","49,876","26,968","49,414","6,462","2,611","430","3,070","138,831","239,265"
"17","MORELOS","3","Cuautla","190","411","38,225","32,065","45,299","13,035","4,678","529","4,243","138,074","230,674"
"17","MORELOS","4","Jojutla","192","406","30,763","40,675","38,705","7,147","2,410","410","3,924","124,034","217,190"
"17","MORELOS","5","Yautepec","187","393","39,196","32,205","35,873","9,815","3,218","470","4,373","125,150","219,261"
"18","NAYARIT","1","Santiago Ixcuintla","353","478","14,910","45,786","43,458","2,917","691","99","2,858","110,719","210,968"
"18","NAYARIT","2","Tepic","213","429","20,647","40,905","55,074","8,876","3,011","414","2,674","131,601","235,412"
"18","NAYARIT","3","Compostela","310","485","28,397","45,097","33,979","3,684","1,345","220","2,772","115,494","227,607"
"19","NUEVO LEON","1","Santa Catarina","149","432","82,082","48,355","9,601","18,422","1,747","202","3,282","163,691","267,852"
"19","NUEVO LEON","2","Apodaca","88","339","42,121","54,634","9,862","10,152","1,513","172","2,566","121,020","218,311"
"19","NUEVO LEON","3","General Escobedo","167","451","74,101","53,395","13,568","10,919","1,981","212","2,740","156,916","273,421"
"19","NUEVO LEON","4","San Nicolás de los Garza","164","449","93,535","39,987","12,951","12,672","1,951","296","2,843","164,235","269,541"
"19","NUEVO LEON","5","Monterrey","111","332","28,848","50,584","14,406","7,575","1,153","334","3,597","106,497","204,174"
"19","NUEVO LEON","6","Monterrey","128","364","65,499","55,477","11,131","8,040","1,658","164","2,744","144,713","222,459"
"19","NUEVO LEON","7","Monterrey","310","466","60,763","48,680","12,747","12,319","1,802","237","4,099","140,647","230,336"
"19","NUEVO LEON","8","Guadalupe","157","412","67,605","52,812","15,356","11,105","2,096","194","3,141","152,309","253,334"
"19","NUEVO LEON","9","Linares","310","502","49,788","63,191","15,747","10,030","6,563","164","7,039","152,522","252,742"
"19","NUEVO LEON","10","Monterrey","182","390","66,535","45,966","14,082","8,770","1,968","170","2,765","140,256","225,035"
"19","NUEVO LEON","11","Guadalupe","122","397","55,283","59,446","13,315","10,271","2,023","181","3,456","143,975","253,443"
"19","NUEVO LEON","12","Cadereyta Jiménez","248","520","58,837","68,556","22,176","11,004","1,303","161","4,337","166,374","276,884"
"20","OAXACA","1","San Juan Bautista Tuxtepec","196","381","32,219","41,180","46,672","2,282","1,711","594","3,380","128,038","205,637"
"20","OAXACA","2","Teotitlán de Flores Magón","209","350","13,952","45,607","40,628","607","633","200","5,557","107,184","170,803"
"20","OAXACA","3","Heroica Ciudad de Huajuapan de León","297","466","25,447","38,395","50,845","2,942","2,464","332","3,860","124,285","221,490"
"20","OAXACA","4","Tlacolula de Matamoros","258","430","20,293","31,678","39,272","2,084","2,066","418","4,848","100,659","214,999"
"20","OAXACA","5","Santo Domingo Tehuantepec","189","384","12,572","50,135","55,627","1,716","860","301","2,750","123,961","200,383"
"20","OAXACA","6","Heroica Ciudad de Tlaxiaco","292","458","9,060","33,710","47,524","1,117","1,081","375","6,635","99,502","217,934"
"20","OAXACA","7","Juchitán de Zaragoza","228","427","13,528","61,331","56,641","1,029","673","238","3,037","136,477","216,503"
"20","OAXACA","8","Oaxaca de Juárez","171","427","39,004","34,285","74,447","6,636","5,218","630","2,935","163,155","253,701"
"20","OAXACA","9","Santa Lucía del Camino","202","403","25,068","34,936","48,808","3,229","2,439","316","4,372","119,168","219,218"
"20","OAXACA","10","Miahuatlán de Porfirio Díaz","215","367","18,596","36,442","39,241","1,175","1,190","433","4,828","101,905","190,488"
"20","OAXACA","11","Santiago Pinotepa Nacional","193","389","12,189","47,120","54,530","1,431","977","342","5,251","121,840","211,793"
"21","PUEBLA","1","Huauchinango","178","412","33,443","38,365","37,465","5,797","1,252","559","5,244","122,125","214,134"
"21","PUEBLA","2","Zacatlán","162","365","37,236","35,546","26,058","4,149","1,637","1,053","4,429","110,108","199,431"
"21","PUEBLA","3","Teziutlán","171","373","42,157","37,992","25,481","3,804","1,823","527","4,801","116,585","204,171"
"21","PUEBLA","4","Zacapoaxtla","181","376","28,391","38,663","24,153","16,541","1,043","466","7,620","116,877","203,668"
"21","PUEBLA","5","San Martín Texmelucan","143","355","43,179","36,776","25,642","5,336","2,316","665","2,681","116,595","212,525"
"21","PUEBLA","6","Puebla","166","431","62,909","38,733","38,896","8,733","5,587","517","3,563","158,938","258,662"
"21","PUEBLA","7","Tepeaca","117","318","35,610","30,355","26,550","4,871","1,737","461","2,997","102,581","194,282"
"21","PUEBLA","8","Chalchicomula de Sesma","140","322","33,429","23,515","31,518","3,460","1,554","484","3,064","97,024","179,354"
"21","PUEBLA","9","Puebla","179","435","65,948","36,341","40,456","9,264","4,240","421","3,514","160,184","255,521"
"21","PUEBLA","10","San Pedro Cholula","124","355","51,171","28,639","29,575","6,862","2,811","333","2,684","122,075","215,670"
"21","PUEBLA","11","Puebla","153","413","70,295","40,254","34,330","10,280","4,034","550","3,095","162,838","253,217"
"21","PUEBLA","12","Puebla","180","429","71,865","39,264","39,778","8,697","4,352","471","3,090","167,517","255,117"
"21","PUEBLA","13","Atlixco","194","378","34,777","33,343","24,110","3,940","1,320","377","2,825","100,692","207,159"
"21","PUEBLA","14","Izúcar de Matamoros","182","402","17,062","40,899","34,621","5,787","971","208","3,691","103,239","212,605"
"21","PUEBLA","15","Tehuacán","113","330","42,768","30,883","27,378","6,638","1,928","304","2,935","112,834","202,893"
"21","PUEBLA","16","Ajalpan","167","327","23,354","36,900","26,505","4,196","793","200","4,193","96,141","168,110"
"22","QUERETARO","1","Cadereyta de Montes","215","464","62,939","48,315","26,449","4,991","1,934","935","6,598","152,161","243,332"
"22","QUERETARO","2","San Juan del Río","159","434","72,633","33,166","29,312","11,039","2,662","851","4,778","154,441","255,206"
"22","QUERETARO","3","Querétaro","190","452","90,763","38,205","29,363","6,377","3,009","525","3,204","171,446","270,034"
