"ESTADO","NOMBRE ESTADO","DISTRITO","DISTRITO","CABECERA DISTRITAL","SECCIONES","CASILLAS"," PAN"," PRI"," PPS"," PRD"," PFCRN"," PARM"," UNO PDM"," PT"," PVEM"," CANDIDATOS NO REGISTRADOS"," NULOS","TOTAL VOTOS","LISTA NOMINAL"
"10","DURANGO","2","II","Gómez Palacios","203","311","29,387","46,585","1,012","21,665","1,744","1,097","169","4,557","758","231","2,669","109,874","145,726"
"10","DURANGO","3","III","Canatlán","265","300","9,929","36,663","321","1,750","88","237","55","5,058","121","25","1,551","55,798","83,177"
"10","DURANGO","4","IV","Guadalupe Victoria","217","251","10,335","38,792","282","4,373","138","226","55","6,826","191","377","1,990","63,585","89,539"
"10","DURANGO","5","V","Durango","280","340","17,452","47,797","316","4,306","336","381","129","17,796","459","513","3,395","92,880","128,423"
"10","DURANGO","6","VI","Lerdo","212","279","15,049","38,306","721","9,432","473","208","93","4,212","247","11","1,994","70,746","97,469"
"11","GUANAJUATO","1","I","Guanajuato","221","316","32,053","67,822","597","11,602","929","923","1,314","1,369","1,256","61","4,310","122,236","147,972"
"11","GUANAJUATO","2","II","León","253","364","64,913","77,713","505","2,909","558","672","1,624","1,884","1,427","35","4,235","156,475","182,569"
"11","GUANAJUATO","3","III","León","160","259","48,527","56,434","349","3,036","501","611","1,244","1,345","1,100","57","2,870","116,074","137,891"
"11","GUANAJUATO","4","IV","Irapuato","249","390","59,557","78,374","852","15,612","1,912","833","1,053","6,286","1,117","34","5,002","170,632","197,969"
"11","GUANAJUATO","5","V","Pénjamo","263","337","30,119","73,496","523","14,352","1,004","834","676","2,451","746","28","4,705","128,934","158,500"
"11","GUANAJUATO","6","VI","Salamanca","225","341","30,185","74,559","1,338","27,411","1,926","883","1,533","3,331","1,539","27","4,499","147,231","172,191"
"11","GUANAJUATO","7","VII","Acámbaro","256","327","25,821","66,887","531","17,420","796","716","827","1,117","736","138","5,357","120,346","149,402"
"11","GUANAJUATO","8","VIII","Celaya","274","402","43,381","82,435","596","7,142","2,196","601","5,252","1,482","2,047","62","4,056","149,250","196,974"
"11","GUANAJUATO","9","IX","San Miguel Allende","299","388","33,641","83,391","827","6,150","1,088","1,294","1,282","1,773","934","149","9,161","139,690","176,712"
"11","GUANAJUATO","10","X","Dolores Hidalgo","188","245","17,932","56,089","600","6,467","1,142","1,495","1,039","1,553","624","172","6,068","93,181","118,110"
"11","GUANAJUATO","11","XI","León","185","316","68,442","62,928","468","2,503","446","506","1,471","1,637","1,360","34","2,932","142,727","162,358"
"11","GUANAJUATO","12","XII","V. de Santiago","203","309","24,461","59,756","990","19,395","1,231","2,685","2,495","1,463","700","310","4,414","117,900","149,085"
"11","GUANAJUATO","13","XIII","Salvatierra","227","306","28,509","70,758","904","10,982","3,043","762","1,490","1,182","1,049","412","4,089","123,180","149,587"
"12","GUERRERO","1","I","Chilpancingo","275","347","6,894","39,555","1,449","29,537","2,147","1,699","298","1,918","699","32","2,787","87,015","140,022"
"12","GUERRERO","2","II","Iguala","255","293","5,493","35,096","365","28,630","1,732","257","63","586","459","14","1,895","74,590","108,307"
"12","GUERRERO","3","III","Coyuca de Catalán","338","362","2,094","38,353","329","28,998","530","185","65","258","123","48","2,286","73,269","103,678"
"12","GUERRERO","4","IV","Acapulco","109","169","12,000","26,016","653","17,712","1,188","575","320","804","679","14","1,473","61,434","84,308"
"12","GUERRERO","5","V","Tlapa","299","354","1,429","36,518","236","22,829","807","1,100","242","1,072","149","9","7,615","72,006","113,428"
"12","GUERRERO","6","VI","Ometepec","281","312","1,924","33,394","782","21,205","2,106","2,862","110","461","114","7","2,938","65,903","103,346"
"12","GUERRERO","7","VII","Acapulco","274","422","19,574","58,421","1,207","46,893","4,174","1,527","302","1,718","1,099","80","3,638","138,633","206,304"
"12","GUERRERO","8","VIII","Taxco","334","368","11,935","36,305","398","19,005","1,237","245","1,050","534","345","20","2,290","73,364","105,195"
"12","GUERRERO","9","IX","Tecpan","314","352","6,414","39,774","427","31,655","1,105","227","58","492","335","20","1,860","82,367","123,198"
"12","GUERRERO","10","X","Chilapa","265","291","4,106","35,586","338","14,857","1,301","1,022","892","901","234","54","3,683","62,974","101,132"
"13","HIDALGO","1","I","Pachuca","291","449","43,783","105,168","1,000","20,839","1,794","934","562","4,638","2,183","204","4,664","185,769","228,164"
"13","HIDALGO","2","II","Tulancingo","239","353","29,187","76,778","750","11,133","1,554","1,030","269","2,717","962","1,009","5,945","131,334","172,479"
"13","HIDALGO","3","III","Tula","250","385","20,684","76,342","848","35,806","1,049","3,021","250","2,169","1,208","153","3,857","145,387","189,603"
"13","HIDALGO","4","IV","Huejutla","267","324","5,952","59,722","520","12,805","4,602","1,922","194","1,103","293","471","9,726","97,310","136,379"
"13","HIDALGO","5","V","Zimapan","359","418","9,846","74,444","470","17,517","619","753","133","1,080","610","490","5,444","111,406","147,222"
"13","HIDALGO","6","VI","Actopan","301","339","11,824","65,100","538","11,642","723","618","119","1,120","555","477","4,114","96,830","131,875"
"14","JALISCO","1","I","Guadalajara","63","95","20,705","16,352","128","1,895","140","180","170","749","653","4","619","41,595","48,066"
"14","JALISCO","2","II","Guadalajara","124","236","49,422","40,490","507","7,652","1,021","477","371","2,694","1,786","31","2,637","107,088","124,761"
"14","JALISCO","3","III","Guadalajara","172","363","80,193","65,147","891","11,627","1,148","755","598","4,079","2,839","17","3,092","170,386","200,240"
"14","JALISCO","4","IV","Guadalajara","80","121","23,998","21,635","203","3,645","288","237","163","1,108","854","17","1,046","53,194","62,177"
"14","JALISCO","5","V","Colotlán","183","254","32,285","46,424","470","4,103","454","593","195","928","558","21","3,432","89,463","112,714"
"14","JALISCO","6","VI","Lagos de Moreno","200","295","36,832","51,882","594","1,926","692","741","10,648","1,022","491","402","4,726","109,956","131,777"
"14","JALISCO","7","VII","Yahualica","218","335","56,924","56,495","603","1,790","311","558","2,686","1,047","487","28","4,700","125,629","151,500"
"14","JALISCO","8","VIII","La Barca","184","296","41,610","59,576","471","13,331","686","1,925","178","1,300","700","53","3,842","123,672","151,215"
"14","JALISCO","9","IX","Jocotepec","154","270","35,685","57,359","610","7,367","3,161","831","391","1,993","834","880","3,525","112,636","137,133"
"14","JALISCO","10","X","Ciudad Guzmán","184","298","38,885","53,497","851","8,869","1,319","665","611","1,820","743","36","3,371","110,667","135,242"
"14","JALISCO","11","XI","Autlán","157","236","19,072","42,965","360","10,299","1,725","546","99","1,147","314","49","2,651","79,227","102,151"
"14","JALISCO","12","XII","Ameca","185","305","40,197","50,984","459","6,678","819","420","125","1,389","639","454","3,083","105,247","134,797"
"14","JALISCO","13","XIII","Guadalajara","78","106","24,477","16,173","182","2,713","203","195","210","984","796","5","746","46,684","54,664"
"14","JALISCO","14","XIV","Guadalajara","100","171","36,555","26,998","267","3,850","193","366","219","1,429","1,254","9","921","72,061","88,389"
"14","JALISCO","15","XV","Guadalajara","187","376","69,418","62,333","786","28,219","1,136","677","514","3,552","2,286","66","4,224","173,211","204,325"
"14","JALISCO","16","XVI","Guadalajara","175","333","67,600","60,365","644","8,891","1,084","628","878","3,071","2,461","31","2,989","148,642","174,120"
"14","JALISCO","17","XVII","Zapopan","170","340","61,440","70,122","1,372","11,279","674","887","406","2,806","1,931","42","3,725","154,684","189,669"
"14","JALISCO","18","XVIII","Tlaquepaque","258","543","103,867","109,148","1,481","16,044","1,807","1,710","1,020","5,387","3,359","566","7,204","251,593","297,374"
"14","JALISCO","19","XIX","Tamazula","194","290","23,505","41,540","366","14,931","3,018","1,077","222","1,310","435","46","3,123","89,573","114,655"
"14","JALISCO","20","XX","Zapopan","238","484","110,825","87,278","857","14,586","1,061","941","507","4,293","3,331","576","4,655","228,910","270,725"
"15","MEXICO","1","I","Tenancingo","346","524","18,172","87,408","613","23,779","2,924","757","449","1,213","1,107","97","6,181","142,700","207,398"
"15","MEXICO","2","II","Valle de Bravo","294","451","18,581","88,023","1,869","22,052","4,572","1,790","476","2,035","1,203","722","10,337","151,660","207,146"
"15","MEXICO","3","III","Lerma","253","469","46,646","94,613","1,950","27,366","2,516","1,204","357","2,648","3,326","79","5,839","186,544","242,929"
"15","MEXICO","4","IV","Toluca","97","193","24,079","41,820","898","8,354","474","309","1,686","2,409","2,305","23","1,674","84,031","103,498"
"15","MEXICO","5","V","Atlacomulco","278","456","25,442","88,532","997","17,059","990","1,406","270","1,650","1,195","73","7,537","145,151","191,417"
"15","MEXICO","6","VI","Cuautitlán","302","545","87,771","90,149","1,822","34,158","1,432","1,354","678","8,044","5,669","203","4,510","235,790","291,002"
"15","MEXICO","7","VII","Naucalpan","56","107","13,391","18,174","254","7,567","300","240","174","1,826","1,386","4","891","44,207","55,136"
"15","MEXICO","8","VIII","Texcoco","347","667","59,398","124,836","1,792","67,976","3,908","1,677","1,061","7,557","8,119","98","7,832","284,254","365,611"
"15","MEXICO","9","IX","Nezahualcoyotl","61","127","11,827","24,943","340","11,576","730","292","243","2,002","1,797","12","1,339","55,101","70,269"
"15","MEXICO","10","X","Nezahualcoyotl","80","156","16,310","27,017","468","15,927","1,003","491","291","2,483","2,493","32","1,398","67,913","83,680"
"15","MEXICO","11","XI","Ecatepec","171","372","36,640","69,594","1,440","35,616","1,604","857","891","5,520","3,660","42","4,666","160,530","207,206"
"15","MEXICO","12","XII","Atizapan","200","419","64,097","75,140","825","28,273","3,128","829","778","6,311","4,853","20","3,733","187,987","238,044"
"15","MEXICO","13","XIII","Huixquilucan","171","349","39,312","65,005","805","24,260","1,645","853","998","5,024","4,111","444","4,390","146,847","188,474"
"15","MEXICO","14","XIV","Tlalnepantla","94","181","23,291","34,559","452","13,313","1,330","333","487","2,995","2,113","28","1,539","80,440","98,752"
"15","MEXICO","15","XV","Chalco","407","745","58,585","151,010","2,049","62,879","4,087","1,739","1,085","9,921","7,014","1,281","9,688","309,338","397,725"
"15","MEXICO","16","XVI","Toluca","263","506","64,346","112,750","2,973","23,237","1,749","1,302","1,055","5,106","5,724","432","6,529","225,203","277,043"
"15","MEXICO","17","XVII","Nicolás Romero","276","511","49,477","109,195","3,443","30,534","2,542","1,317","700","3,759","3,225","161","8,663","213,016","272,238"
"15","MEXICO","18","XVIII","Naucalpan","119","225","43,625","36,860","358","11,168","392","679","401","3,666","2,473","22","1,544","101,188","121,244"
"15","MEXICO","19","XIX","Naucalpan","46","63","8,465","10,526","114","4,227","291","134","102","962","695","5","548","26,069","33,071"
"15","MEXICO","20","XX","Naucalpan","148","300","31,986","55,071","1,062","27,630","1,202","841","728","5,641","3,802","579","3,217","131,759","166,635"
"15","MEXICO","21","XXI","Zumpango","366","658","65,095","120,364","1,219","48,504","1,497","4,260","890","6,470","5,121","200","6,236","259,856","332,696"
"15","MEXICO","22","XXII","Nezahualcoyotl","88","177","19,338","32,774","516","16,934","1,794","470","405","3,129","3,034","1,163","2,076","81,633","101,664"
"15","MEXICO","23","XXIII","Nezahualcoyotl","68","136","12,026","23,999","393","13,607","1,178","338","282","2,029","2,011","18","1,762","57,643","73,774"
"15","MEXICO","24","XXIV","Nezahualcoyotl","57","111","11,428","19,638","337","10,107","619","279","235","1,718","1,545","10","1,134","47,050","60,484"
"15","MEXICO","25","XXV","Nezahualcoyotl","45","94","10,041","17,506","343","8,612","434","254","214","1,714","1,332","20","968","41,438","52,043"
"15","MEXICO","26","XXVI","Nezahualcoyotl","60","125","11,165","24,375","540","13,099","855","283","262","1,704","1,782","27","1,314","55,406","70,457"
"15","MEXICO","27","XXVII","Nezahualcoyotl","67","136","12,917","24,037","367","14,281","789","316","349","1,829","1,961","30","1,535","58,411","73,156"
"15","MEXICO","28","XXVIII","Nezahualcoyotl","71","154","14,150","25,863","424","17,442","667","364","284","2,214","2,033","31","1,506","64,978","82,711"
"15","MEXICO","29","XXIX","Nezahualcoyotl","73","155","12,760","27,845","447","18,153","771","375","219","2,157","2,366","44","1,549","66,686","84,732"
"15","MEXICO","30","XXX","Ecatepec","107","228","25,772","39,543","653","21,353","2,277","608","429","3,917","3,339","42","2,737","100,670","129,025"
"15","MEXICO","31","XXXI","Ecatepec","234","454","49,961","79,568","1,368","43,529","3,469","1,235","976","7,580","6,911","52","4,619","199,268","251,842"
"15","MEXICO","32","XXXII","Ecatepec","217","447","53,785","81,618","1,504","39,934","2,469","1,125","1,288","8,670","6,090","354","4,414","201,251","249,485"
"15","MEXICO","33","XXXIII","Tlalnepantla","129","263","41,334","48,045","667","21,023","920","586","508","5,039","3,840","45","1,979","123,986","149,496"
"15","MEXICO","34","XXXIV","Tultitlán","323","576","76,917","106,648","1,700","43,766","2,401","1,392","1,104","9,721","7,531","57","5,202","256,439","316,299"
"16","MICHOACAN","1","I","Morelia","250","397","33,199","63,308","764","39,917","1,122","1,049","1,103","3,024","2,696","28","2,602","148,812","195,534"
"16","MICHOACAN","2","II","Ciudad Hidalgo","253","345","12,484","53,643","378","34,798","611","963","1,813","864","540","466","3,572","110,132","141,605"
"16","MICHOACAN","3","III","Zacapu","189","281","6,051","38,761","310","39,077","717","761","266","697","536","20","2,464","89,660","135,755"
"16","MICHOACAN","4","IV","La Piedad","202","293","14,345","47,849","266","38,470","621","412","247","714","432","18","2,574","105,948","138,877"
"16","MICHOACAN","5","V","Zamora","165","271","33,274","34,687","375","20,877","836","475","149","886","924","26","3,089","95,598","126,613"
"16","MICHOACAN","6","VI","Uruapan","199","324","24,817","40,284","643","38,969","728","681","791","2,408","1,127","541","3,047","114,036","155,622"
"16","MICHOACAN","7","VII","Tacámbaro","235","288","6,137","41,518","286","32,669","398","511","924","649","238","230","3,207","86,767","116,537"
"16","MICHOACAN","8","VIII","Zitácuaro","197","315","10,779","53,870","550","36,736","570","1,091","677","1,112","835","41","4,774","111,035","142,543"
"16","MICHOACAN","9","IX","Apatzingán","148","215","4,651","29,481","172","32,692","579","1,339","394","335","194","25","2,269","72,131","93,694"
"16","MICHOACAN","10","X","Quiroga","239","395","15,954","60,895","655","49,382","1,185","1,505","893","1,729","1,201","36","4,332","137,767","180,781"
"16","MICHOACAN","11","XI","Jiquilpan","232","305","22,045","47,713","287","34,826","1,805","565","64","598","356","24","3,140","111,423","143,622"
"16","MICHOACAN","12","XII","Los Reyes","175","259","9,369","42,492","226","30,983","564","364","122","497","282","276","2,230","87,405","119,949"
"16","MICHOACAN","13","XIII","Lázaro Cárdenas","185","338","8,567","39,111","294","43,425","1,719","424","222","709","396","25","2,568","97,460","133,973"
"17","MORELOS","1","I","Cuernavaca","203","360","41,147","65,480","894","26,396","1,688","917","452","4,281","3,673","89","3,396","148,413","185,235"
"17","MORELOS","2","II","Cuautla","200","325","19,750","64,249","448","17,761","1,576","859","1,353","3,143","1,618","40","3,007","113,804","157,445"
"17","MORELOS","3","III","Yautepec","284","474","35,426","88,700","903","37,542","3,180","1,481","631","3,975","2,807","490","5,714","180,849","239,850"
"17","MORELOS","4","IV","Jojutla","219","349","17,276","68,579","585","24,924","2,276","1,321","292","1,766","1,320","54","3,652","122,045","166,646"
"18","NAYARIT","1","I","Tepic","310","426","24,951","75,000","1,119","22,616","1,043","826","254","5,093","1,224","273","3,784","136,183","191,809"
"18","NAYARIT","2","II","Santiago Ixcuintla","256","289","6,570","47,222","1,091","13,083","540","385","63","5,160","225","104","3,377","77,820","115,950"
