"ESTADO","NOMBRE ESTADO","DISTRITO","CABECERA DISTRITAL","SECCIONES","CASILLAS"," AC"," PRI"," AM"," PCD"," PARM"," DSPPN"," CANDIDATOS NO REGISTRADOS"," NULOS","TOTAL VOTOS","LISTA NOMINAL"
"9","DISTRITO FEDERAL","2","Gustavo A. Madero","173","336","58,519","27,180","29,898","2,299","1,154","6,576","42","2,272","127,940","176,771"
"9","DISTRITO FEDERAL","3","Azcapotzalco","195","356","61,130","31,224","36,483","2,936","1,023","6,482","48","2,144","141,470","194,582"
"9","DISTRITO FEDERAL","4","Gustavo A. Madero","180","352","52,429","29,241","36,258","2,436","1,198","6,029","22","2,320","129,933","186,093"
"9","DISTRITO FEDERAL","5","Azcapotzalco","168","337","55,231","31,479","36,427","3,055","1,327","6,387","22","2,446","136,374","191,316"
"9","DISTRITO FEDERAL","6","Gustavo A. Madero","177","364","49,354","31,196","47,024","2,847","1,176","6,166","58","2,848","140,669","206,300"
"9","DISTRITO FEDERAL","7","Gustavo A. Madero","172","349","54,774","32,755","41,227","3,532","1,250","7,226","31","2,550","143,345","199,910"
"9","DISTRITO FEDERAL","8","Cuauhtémoc","195","389","49,881","37,828","43,035","3,045","1,200","8,133","48","3,446","146,616","219,354"
"9","DISTRITO FEDERAL","9","Venustiano Carranza","156","313","48,123","30,883","32,829","2,409","1,052","6,552","209","2,368","124,425","177,625"
"9","DISTRITO FEDERAL","10","Miguel Hidalgo","196","368","64,051","34,953","28,766","1,811","943","6,746","33","2,159","139,462","198,705"
"9","DISTRITO FEDERAL","11","Venustiano Carranza","181","349","53,291","31,893","38,641","2,696","1,412","7,282","37","2,631","137,883","198,277"
"9","DISTRITO FEDERAL","12","Cuauhtémoc","194","373","56,392","31,504","36,844","2,614","1,406","9,603","27","2,335","140,725","203,854"
"9","DISTRITO FEDERAL","13","Iztacalco","198","387","50,131","33,874","47,086","3,302","1,455","7,903","46","3,105","146,902","210,824"
"9","DISTRITO FEDERAL","14","Iztacalco","165","332","54,738","30,850","38,056","2,860","1,252","8,123","41","2,239","138,159","191,311"
"9","DISTRITO FEDERAL","15","Benito Juárez","190","396","82,544","30,813","34,401","2,673","1,244","10,520","34","1,846","164,075","224,286"
"9","DISTRITO FEDERAL","16","Alvaro Obregón","160","331","47,100","33,263","34,282","2,375","1,204","6,565","23","2,982","127,794","182,326"
"9","DISTRITO FEDERAL","17","Cuajimalpa","155","322","47,770","33,725","35,600","2,207","1,181","5,793","17","3,007","129,300","186,500"
"9","DISTRITO FEDERAL","18","Iztapalapa","204","405","50,755","36,397","50,571","5,419","1,816","7,064","406","2,903","155,331","223,111"
"9","DISTRITO FEDERAL","19","Iztapalapa","174","349","42,572","35,276","48,363","2,903","1,400","6,576","64","2,871","140,025","204,437"
"9","DISTRITO FEDERAL","20","Iztapalapa","212","415","59,877","34,365","50,347","3,376","1,943","8,427","292","2,986","161,613","226,337"
"9","DISTRITO FEDERAL","21","Alvaro Obregón","204","374","70,014","28,349","33,787","3,139","940","7,928","47","2,102","146,306","198,891"
"9","DISTRITO FEDERAL","22","Iztapalapa","198","424","41,759","37,980","59,079","4,146","2,823","5,906","108","4,679","156,480","246,478"
"9","DISTRITO FEDERAL","23","Coyoacán","187","404","55,665","32,704","58,777","7,211","1,332","7,901","26","3,077","166,693","233,119"
"9","DISTRITO FEDERAL","24","Coyoacán","177","386","68,938","33,710","45,680","3,581","1,166","10,890","27","2,125","166,117","220,889"
"9","DISTRITO FEDERAL","25","Iztapalapa","215","439","52,798","37,942","59,868","4,292","2,449","7,567","98","3,624","168,638","250,368"
"9","DISTRITO FEDERAL","26","Magdalena Contreras","187","367","49,032","34,060","46,322","3,213","1,395","7,397","52","3,119","144,590","203,704"
"9","DISTRITO FEDERAL","27","Tláhuac","177","389","39,967","38,999","62,011","3,193","2,677","6,415","64","3,708","157,034","231,226"
"9","DISTRITO FEDERAL","28","Xochimilco","174","390","46,597","31,544","60,626","4,742","4,341","7,423","79","3,242","158,594","228,724"
"9","DISTRITO FEDERAL","29","Tlalpan","179","345","47,710","26,665","47,689","3,550","1,401","7,120","52","3,101","137,288","195,510"
"9","DISTRITO FEDERAL","30","Tlalpan","175","363","57,175","30,646","44,978","2,903","1,126","7,601","89","2,248","146,766","202,573"
"10","DURANGO","1","Santiago Papasquiaro","380","426","20,721","40,997","3,028","319","452","317","14","1,493","67,341","130,124"
"10","DURANGO","2","Gómez Palacio","238","390","46,206","45,235","18,063","546","827","1,544","693","2,382","115,496","193,646"
"10","DURANGO","3","Lerdo","302","406","33,786","46,904","9,781","368","400","746","39","1,720","93,744","170,089"
"10","DURANGO","4","Victoria de Durango","263","395","38,197","51,834","14,095","485","482","1,305","24","2,190","108,612","189,012"
"10","DURANGO","5","Victoria de Durango","199","350","51,677","39,423","17,580","447","482","1,969","60","1,846","113,484","185,920"
"11","GUANAJUATO","1","Dolores Hidalgo","188","297","35,804","39,223","10,054","854","1,120","649","144","4,834","92,682","151,505"
"11","GUANAJUATO","2","San Miguel de Allende","264","396","64,047","39,506","8,156","2,680","2,302","1,023","392","6,430","124,536","193,376"
"11","GUANAJUATO","3","León","214","426","119,993","42,197","4,437","801","578","2,060","42","3,299","173,407","233,161"
"11","GUANAJUATO","4","Guanajuato","171","310","48,965","43,832","9,453","1,228","768","1,751","65","3,292","109,354","165,520"
"11","GUANAJUATO","5","León","197","388","112,448","38,538","4,005","701","587","1,966","618","2,724","161,587","219,777"
"11","GUANAJUATO","6","León","187","355","100,199","38,300","4,710","715","563","2,153","47","2,807","149,494","200,805"
"11","GUANAJUATO","7","San Francisco del Rincón","199","310","47,295","36,891","6,810","436","1,020","441","85","2,669","95,647","152,869"
"11","GUANAJUATO","8","Salamanca","190","349","72,306","36,187","12,084","1,788","861","1,330","67","3,451","128,074","184,659"
"11","GUANAJUATO","9","Irapuato","249","477","106,206","52,221","10,170","1,448","790","1,225","51","3,428","175,539","260,585"
"11","GUANAJUATO","10","Apaseo el Grande","166","287","46,750","31,760","7,170","802","639","648","68","3,567","91,404","149,142"
"11","GUANAJUATO","11","Pénjamo","177","292","36,599","30,036","14,293","3,930","695","597","149","3,414","89,713","151,978"
"11","GUANAJUATO","12","Celaya","231","424","97,625","44,437","7,652","1,133","1,221","2,150","33","2,668","156,919","229,438"
"11","GUANAJUATO","13","Valle de Santiago","156","291","48,834","27,037","15,023","773","776","873","84","2,842","96,242","157,966"
"11","GUANAJUATO","14","Acámbaro","203","304","33,732","26,990","19,595","724","498","599","67","3,952","86,157","148,751"
"11","GUANAJUATO","15","Salvatierra","212","356","56,255","32,815","12,329","1,746","852","1,864","38","2,844","108,743","184,976"
"12","GUERRERO","1","Coyuca de Catalán","333","412","4,183","41,820","32,772","181","156","201","11","1,605","80,929","151,909"
"12","GUERRERO","2","Taxco de Alarcón","358","438","20,255","39,744","23,332","337","285","376","29","1,743","86,101","150,392"
"12","GUERRERO","3","José Azueta","345","461","11,902","43,990","41,323","353","289","511","266","2,093","100,727","187,516"
"12","GUERRERO","4","Iguala","253","377","8,642","41,215","35,818","408","311","409","279","2,288","89,370","167,269"
"12","GUERRERO","5","Tlapa de Comonfort","218","299","2,643","28,426","25,299","322","258","123","48","2,168","59,287","124,271"
"12","GUERRERO","6","Chilapa de Alvarez","302","385","5,050","45,873","22,088","323","593","273","42","3,352","77,594","152,818"
"12","GUERRERO","7","Chilpancingo de los Bravo","249","394","14,313","47,207","35,782","641","562","1,406","3","2,063","101,977","192,979"
"12","GUERRERO","8","Ometepec","321","429","4,828","46,008","38,966","257","399","103","193","3,017","93,771","180,118"
"12","GUERRERO","9","Acapulco","198","405","21,069","48,287","45,427","805","685","830","33","2,819","119,955","227,446"
"12","GUERRERO","10","Acapulco","184","379","29,573","35,966","47,500","944","677","1,692","27","1,892","118,271","205,708"
"13","HIDALGO","1","Huejutla de Reyes","267","370","23,768","56,562","18,191","876","756","894","113","5,547","106,707","177,133"
"13","HIDALGO","2","Ixmiquilpan","370","468","19,180","57,698","26,216","1,277","695","700","64","3,650","109,480","194,358"
"13","HIDALGO","3","Atotonilco el Grande","281","397","24,799","53,248","20,405","865","728","1,709","43","2,595","104,392","188,977"
"13","HIDALGO","4","Tulancingo","195","332","40,366","48,174","10,699","1,001","602","925","317","3,647","105,731","174,297"
"13","HIDALGO","5","Tula de Allende","204","382","31,925","49,658","43,006","918","894","1,422","48","2,137","130,008","201,422"
"13","HIDALGO","6","Pachuca de Soto","191","364","51,983","56,427","14,573","3,877","888","3,858","42","2,445","134,093","200,052"
"13","HIDALGO","7","Tepeapulco","198","353","42,024","52,962","18,826","1,067","707","2,452","55","2,391","120,484","186,606"
"14","JALISCO","1","Colotlán","196","334","37,103","48,067","11,218","926","1,453","844","27","2,270","101,908","164,141"
"14","JALISCO","2","Lagos de Moreno","211","378","71,990","46,298","6,720","919","717","1,212","271","3,753","131,880","198,173"
"14","JALISCO","3","Tepatitlán de Morelos","202","380","78,890","42,027","3,845","1,142","745","1,002","73","3,766","131,490","195,734"
"14","JALISCO","4","Zapopan","138","359","65,187","59,592","11,326","3,087","986","3,993","397","2,619","147,187","217,107"
"14","JALISCO","5","Puerto Vallarta","186","368","49,931","51,316","10,153","740","583","1,652","26","2,086","116,487","188,847"
"14","JALISCO","6","Zapopan","119","342","64,639","55,208","7,956","2,829","920","3,954","25","2,553","138,084","209,755"
"14","JALISCO","7","Tonalá","146","399","76,664","64,014","10,047","2,813","1,551","3,211","48","3,429","161,777","242,401"
"14","JALISCO","8","Guadalajara","166","355","78,652","45,947","9,738","3,285","952","5,334","46","1,776","145,730","198,250"
"14","JALISCO","9","Guadalajara","140","329","65,757","43,679","9,088","3,685","1,016","3,774","26","2,528","129,553","187,318"
"14","JALISCO","10","Zapopan","109","309","87,695","32,251","7,898","3,315","789","6,453","37","1,058","139,496","188,161"
"14","JALISCO","11","Guadalajara","155","338","69,203","45,351","9,351","3,439","1,063","3,895","66","2,149","134,517","191,670"
"14","JALISCO","12","Guadalajara","186","359","85,206","38,863","7,143","4,193","1,291","5,548","21","1,608","143,873","195,349"
"14","JALISCO","13","Guadalajara","182","352","72,476","46,300","7,939","3,035","909","4,056","32","2,672","137,419","192,755"
"14","JALISCO","14","Guadalajara","149","335","71,214","43,748","9,490","2,960","1,080","4,090","66","2,223","134,871","192,824"
"14","JALISCO","15","La Barca","199","396","63,736","49,924","16,598","994","783","1,151","31","2,659","135,876","210,932"
"14","JALISCO","16","Tlaquepaque","153","400","82,137","59,232","10,560","2,878","1,347","3,495","108","4,359","164,116","242,082"
"14","JALISCO","17","Jocotepec","194","417","59,259","58,499","13,715","1,403","946","2,419","41","2,973","139,255","223,456"
"14","JALISCO","18","Autlán de Navarro","224","393","37,825","49,930","27,541","971","732","704","16","3,116","120,835","198,289"
"14","JALISCO","19","Ciudad Guzmán","251","418","58,107","52,325","15,225","1,787","1,020","1,996","21","2,913","133,394","209,412"
"15","MEXICO","1","Atlacomulco de Fabela","213","391","44,827","64,154","12,371","892","680","808","79","4,076","127,887","183,460"
"15","MEXICO","2","Zumpango de Ocampo","170","380","50,649","53,707","27,424","1,940","3,975","3,296","120","2,793","143,904","213,181"
"15","MEXICO","3","San Felipe del Progreso","174","325","29,983","51,364","11,530","927","704","571","564","5,132","100,775","157,914"
"15","MEXICO","4","Nicolás Romero","157","387","74,415","53,275","14,774","1,439","1,062","2,882","24","2,756","150,627","220,119"
"15","MEXICO","5","Teotihuacan","209","431","63,311","54,311","38,154","3,487","1,345","3,590","78","2,845","167,121","236,163"
"15","MEXICO","6","Coacalco de Berriozabal","152","365","71,906","42,822","24,161","3,621","1,044","5,680","17","2,759","152,010","212,943"
"15","MEXICO","7","Cuautitilán Izcalli","220","471","104,507","50,625","26,954","2,972","1,502","7,190","40","2,368","196,158","272,101"
"15","MEXICO","8","Tultitlán de Mariano Escobedo","199","459","82,859","58,045","32,453","3,314","1,219","5,597","54","2,459","186,000","269,604"
"15","MEXICO","9","Ixtlahuaca de Rayón","166","349","37,159","57,832","21,504","1,106","775","861","441","4,427","124,105","184,950"
"15","MEXICO","10","Ecatepec de Morelos","163","430","69,101","50,401","41,681","2,885","1,622","5,885","54","2,571","174,200","262,158"
"15","MEXICO","11","Ecatepec de Morelos","150","376","62,883","41,629","35,559","2,382","1,186","4,361","179","2,589","150,768","226,914"
"15","MEXICO","12","Texcoco de Mora","194","475","57,257","66,718","51,110","3,792","1,739","5,057","49","3,359","189,081","280,185"
"15","MEXICO","13","Ecatepec de Morelos","152","400","59,908","42,300","38,558","2,401","1,530","5,186","27","3,011","152,921","237,428"
"15","MEXICO","14","Atizapán de Zaragoza","167","459","104,339","48,938","25,794","3,024","1,090","9,549","37","2,668","195,439","280,488"
"15","MEXICO","15","Tlalnepantla de Baz","130","292","70,525","28,637","14,567","1,350","682","3,773","302","1,552","121,388","169,640"
"15","MEXICO","16","Tlalnepantla de Baz","130","296","53,383","31,412","20,336","1,329","835","3,203","42","1,980","112,520","173,736"
"15","MEXICO","17","Ecatepec de Morelos","183","403","59,332","42,641","37,593","2,281","1,303","5,526","24","3,192","151,892","228,813"
"15","MEXICO","18","Huixquilucan de Degollado","124","287","46,188","41,937","24,722","1,759","1,340","3,296","24","2,518","121,784","170,121"
"15","MEXICO","19","Tlalnepantla de Baz","120","279","68,918","24,304","15,658","1,597","537","4,653","20","1,244","116,931","158,253"
"15","MEXICO","20","Ciudad Nezahualcóyotl","139","316","46,348","29,058","40,342","2,003","974","4,759","32","1,693","125,209","183,149"
"15","MEXICO","21","Naucalpan de Juárez","167","344","84,116","33,159","16,095","2,152","831","5,981","22","1,461","143,817","195,696"
"15","MEXICO","22","Naucalpan de Juárez","154","333","55,727","41,761","17,340","1,379","930","3,563","25","1,901","122,626","190,183"
"15","MEXICO","23","Valle de Bravo","167","328","34,301","46,385","21,146","3,040","646","1,025","33","3,659","110,235","161,804"
"15","MEXICO","24","Naucalpan de Juárez","139","333","50,110","43,819","21,263","1,573","1,102","3,295","29","2,073","123,264","194,316"
"15","MEXICO","25","Chimalhuacán","170","470","50,014","59,079","49,037","2,445","2,125","4,599","89","4,592","171,980","286,220"
"15","MEXICO","26","Toluca de Lerdo","146","348","63,202","52,864","16,308","1,486","954","3,111","321","3,235","141,481","204,488"
"15","MEXICO","27","Metepec","181","408","74,661","59,030","22,199","2,176","3,432","3,982","25","3,199","168,704","231,762"
"15","MEXICO","28","Ciudad Nezahualcóyotl","138","306","34,138","30,128","38,806","1,583","1,027","3,802","637","2,376","112,497","172,630"
"15","MEXICO","29","Ciudad Nezahualcóyotl","132","288","37,293","27,121","35,251","1,752","981","4,062","29","1,554","108,043","163,037"
"15","MEXICO","30","Ciudad Nezahualcóyotl","127","292","32,362","30,417","39,641","1,680","994","3,505","27","2,053","110,679","173,807"
"15","MEXICO","31","Ciudad Nezahualcóyotl","134","303","30,950","28,588","41,977","2,069","1,071","3,631","59","1,777","110,122","171,673"
"15","MEXICO","32","Valle de Chalco Solidaridad","180","444","47,511","56,482","51,513","3,027","2,143","4,834","84","3,496","169,090","268,833"
"15","MEXICO","33","Chalco de Díaz Covarrubias","185","407","49,003","55,508","37,730","3,613","1,778","2,840","67","3,118","153,657","232,504"
"15","MEXICO","34","Toluca de Lerdo","128","306","63,722","44,491","11,769","1,615","711","3,420","20","1,766","127,514","179,361"
"15","MEXICO","35","Tenancingo de Degollado","188","402","40,990","61,018","26,221","1,301","839","1,251","71","2,943","134,634","212,402"
"15","MEXICO","36","Tejupilco de Hidalgo","263","449","22,836","56,876","28,971","807","1,159","527","97","3,707","114,980","187,693"
"16","MICHOACAN","1","La Piedad","190","313","28,799","31,721","30,873","548","350","482","4","1,826","94,603","163,209"
"16","MICHOACAN","2","Puruándiro","187","335","17,056","32,338","40,819","927","739","487","11","2,201","94,578","172,219"
"16","MICHOACAN","3","Zitácuaro","231","384","19,784","44,629","49,788","579","754","585","56","3,470","119,645","191,092"
"16","MICHOACAN","4","Jiquilpan","248","418","42,320","39,877","31,679","887","562","587","34","2,460","118,406","195,474"
"16","MICHOACAN","5","Zamora","204","390","43,168","33,377","38,777","975","647","710","44","2,415","120,113","203,900"
"16","MICHOACAN","6","Ciudad Hidalgo","218","364","26,671","32,682","37,347","833","723","659","33","2,771","101,719","176,835"
"16","MICHOACAN","7","Zacapu","207","361","18,934","37,042","48,517","1,194","853","881","19","2,632","110,072","186,154"
"16","MICHOACAN","8","Morelia","168","338","41,035","31,031","42,106","2,041","1,320","2,890","434","2,174","123,031","191,150"
"16","MICHOACAN","9","Uruapan","199","386","43,130","34,992","49,385","1,113","833","2,084","618","3,063","135,218","211,449"
"16","MICHOACAN","10","Morelia","180","350","53,146","27,820","35,951","3,514","2,009","2,586","25","2,112","127,163","185,912"
"16","MICHOACAN","11","Tacámbaro","260","374","11,583","40,153","40,142","641","594","375","482","2,521","96,491","172,980"
"16","MICHOACAN","12","Apatzingán","223","391","10,600","38,263","59,191","525","429","474","50","2,155","111,687","192,649"
"16","MICHOACAN","13","Lázaro Cárdenas","158","345","14,941","28,963","44,677","680","781","820","136","1,822","92,820","165,911"
"17","MORELOS","1","Cuernavaca","214","434","104,351","34,622","20,421","1,539","1,282","4,189","39","2,637","169,080","239,779"
"17","MORELOS","2","Yautepec","236","499","83,586","48,129","37,377","1,570","2,231","3,466","3","4,308","180,670","281,583"
"17","MORELOS","3","Cuautla","237","452","44,469","56,967","36,201","1,549","1,173","5,956","53","4,232","150,600","244,549"
"17","MORELOS","4","Jojutla","219","410","47,036","46,672","29,341","1,161","1,173","1,104","28","3,751","130,266","213,349"
"18","NAYARIT","1","Santiago Ixcuintla","333","412","21,919","55,797","26,997","524","379","264","50","2,722","108,652","178,769"
"18","NAYARIT","2","Tepic","244","401","40,066","62,908","21,586","927","626","1,793","592","2,953","131,451","207,606"
"18","NAYARIT","3","Compostela","299","404","33,719","55,254","17,164","1,081","683","729","23","2,863","111,516","182,510"
"19","NUEVO LEON","1","Santa Catarina","196","436","83,826","57,532","10,566","2,777","387","1,485","30","2,762","159,365","251,413"
"19","NUEVO LEON","2","Apodaca","303","552","72,373","90,988","11,805","3,027","405","1,177","407","3,951","184,133","289,442"
"19","NUEVO LEON","3","San Nicolás de los Garza","151","384","61,842","68,681","6,427","1,381","260","1,431","26","2,231","142,279","232,442"
"19","NUEVO LEON","4","San Nicolás de los Garza","151","364","86,030","38,970","7,963","1,772","387","1,880","310","2,568","139,880","215,058"
"19","NUEVO LEON","5","Monterrey","133","352","36,026","59,555","16,941","1,468","306","684","54","3,277","118,311","209,116"
"19","NUEVO LEON","6","Monterrey","132","319","74,215","39,436","7,774","2,125","459","1,885","15","1,837","127,746","186,237"
"19","NUEVO LEON","7","Monterrey","291","403","57,871","48,583","7,020","1,970","345","1,453","10","2,552","119,804","190,326"
"19","NUEVO LEON","8","Guadalupe","135","348","68,768","46,656","7,550","1,873","356","1,594","28","2,280","129,105","206,217"
"19","NUEVO LEON","9","Linares","297","464","48,407","76,131","10,320","807","588","706","19","4,287","141,265","230,707"
"19","NUEVO LEON","10","Monterrey","169","333","66,753","41,733","7,597","1,946","383","2,204","54","2,131","122,801","184,926"
"19","NUEVO LEON","11","Guadalupe","144","360","68,311","48,461","9,576","2,568","312","1,601","17","2,599","133,445","217,602"
"20","OAXACA","1","San Juan Bautista Tuxtepec","213","367","48,504","50,345","16,293","568","629","6,487","292","4,085","127,203","192,850"
"20","OAXACA","2","Teotitlán de Flores Magón","220","334","15,807","49,325","20,319","909","617","1,494","84","4,583","93,138","156,854"
"20","OAXACA","3","Huajuapan de León","290","364","16,170","32,568","23,473","629","685","484","39","3,647","77,695","149,849"
"20","OAXACA","4","Ixtlán de Juárez","231","342","16,107","40,494","19,213","954","871","526","26","3,473","81,664","162,914"
"20","OAXACA","5","Santo Domingo Tehuantepec","194","349","17,758","51,307","29,695","629","574","551","36","3,478","104,028","179,176"
"20","OAXACA","6","Heroica Ciudad de Tlaxiaco","229","304","8,815","31,806","24,000","1,357","1,133","369","29","4,106","71,615","141,522"
"20","OAXACA","7","Juchitán de Zaragoza","248","422","14,547","61,236","42,861","441","403","490","56","3,699","123,733","201,924"
"20","OAXACA","8","Oaxaca de Juárez","229","473","88,964","46,088","23,732","1,693","1,035","3,993","28","2,923","168,456","260,189"
"20","OAXACA","9","Zimatlán de Alvarez","183","304","22,338","37,223","20,595","1,285","906","1,121","420","3,670","87,558","159,801"
"20","OAXACA","10","Miahuatlán de Porfirio Díaz","226","338","17,472","44,623","22,121","1,150","1,006","466","1,070","5,190","93,098","169,410"
"20","OAXACA","11","Santiago Pinotepa Nacional","185","325","9,203","42,577","34,088","1,193","1,059","397","106","4,044","92,667","164,108"
"21","PUEBLA","1","Huauchinango","176","357","27,589","54,488","19,739","601","708","503","33","4,634","108,295","177,805"
"21","PUEBLA","2","Zacatlán","173","337","21,437","62,914","16,209","720","905","577","41","4,915","107,718","169,207"
"21","PUEBLA","3","Teziutlán","193","378","34,650","63,983","14,603","1,020","918","984","10","5,097","121,265","194,207"
"21","PUEBLA","4","Libres","142","271","25,409","46,024","8,815","476","566","453","22","3,423","85,188","139,340"
"21","PUEBLA","5","San Martín Texmelucan","179","380","61,299","48,578","15,960","1,089","797","1,219","32","2,366","131,340","217,651"
"21","PUEBLA","6","Heroica Puebla de Zaragoza","166","367","74,269","44,852","12,894","1,474","1,074","3,002","27","2,492","140,084","210,635"
"21","PUEBLA","7","Tepeaca","138","302","34,518","36,131","17,255","680","477","685","18","1,932","91,696","172,545"
"21","PUEBLA","8","Ciudad Serdán","156","296","31,002","46,430","12,282","670","503","564","3","2,800","94,254","154,359"
"21","PUEBLA","9","Heroica Puebla de Zaragoza","182","374","78,867","39,311","15,504","1,572","1,165","3,869","27","2,426","142,741","212,313"
"21","PUEBLA","10","Atlixco","187","372","58,101","41,610","12,061","1,160","751","1,496","10","2,422","117,611","198,751"
"21","PUEBLA","11","Heroica Puebla de Zaragoza","163","363","80,888","44,472","12,892","1,626","1,020","4,098","26","2,274","147,296","214,305"
