"ESTADO","NOMBRE ESTADO","DISTRITO","DISTRITO","CABECERA DISTRITAL","SECCIONES","CASILLAS"," PAN"," PRI"," PPS"," PRD"," PFCRN"," PARM"," PDM"," PRT"," PEM"," PT"," CANDIDATOS NO REGISTRADOS"," NULOS","TOTAL VOTOS","LISTA NOMINAL"
"7","CHIAPAS","1","I","Tuxtla Gutiérrez","274","470","13,091","66,950","1,939","5,338","15,499","523","521","708","818","997","53","5,901","112,338","213,727"
"7","CHIAPAS","2","II","San Cristóbal","188","258","2,734","68,328","497","4,591","7,126","329","180","135","350","262","25","3,828","88,385","128,207"
"7","CHIAPAS","3","III","Comitán","265","363","1,287","106,538","915","4,389","5,766","395","328","103","127","338","80","4,096","124,362","158,009"
"7","CHIAPAS","4","IV","Pichucalco","185","259","3,709","74,879","627","1,704","4,502","152","91","128","20","319","29","2,754","88,914","121,773"
"7","CHIAPAS","5","V","Tapachula","231","352","9,958","67,224","649","6,438","6,384","9,505","298","93","56","272","43","8,443","109,363","160,434"
"7","CHIAPAS","6","VI","Palenque","189","335","2,668","70,253","969","7,119","8,044","395","275","92","81","639","141","8,919","99,595","152,561"
"7","CHIAPAS","7","VII","Huixtla","175","265","6,641","63,825","4,474","7,398","5,855","874","220","46","42","269","81","7,230","96,955","126,074"
"7","CHIAPAS","8","VIII","Tonalá","188","321","10,404","54,029","964","2,345","4,912","325","115","72","25","454","900","3,130","77,675","135,973"
"7","CHIAPAS","9","IX","Ococingo","206","334","1,297","68,294","408","10,617","4,023","421","222","148","98","1,370","109","6,338","93,345","161,419"
"8","CHIHUAHUA","1","I","Chihuhua","206","232","21,752","43,903","469","679","618","538","330","159","1,053","1,594","11","2,456","73,562","107,693"
"8","CHIHUAHUA","2","II","Hidalgo Parral","247","269","16,840","29,858","503","2,764","275","857","164","71","138","519","10","2,942","54,941","99,085"
"8","CHIHUAHUA","3","III","Ciudad Juárez","140","150","17,861","23,361","173","386","418","152","166","93","253","341","7","3,181","46,392","62,753"
"8","CHIHUAHUA","4","IV","Ciudad Juárez","380","437","56,366","64,405","366","1,111","1,451","311","312","376","910","9,193","39","5,669","140,509","187,219"
"8","CHIHUAHUA","5","V","Ciudad Guerrero","283","309","3,126","31,491","459","3,573","697","407","68","90","25","481","17","1,579","42,013","73,893"
"8","CHIHUAHUA","6","VI","Ciudad Camargo","269","301","23,146","47,615","533","864","724","681","145","134","86","1,095","44","2,397","77,464","121,305"
"8","CHIHUAHUA","7","VII","Chihuhua","373","428","34,548","64,448","735","1,240","1,357","777","244","331","1,727","6,128","40","2,690","114,265","181,078"
"8","CHIHUAHUA","8","VIII","Ciudad Juárez","246","287","34,032","47,108","343","836","860","253","295","215","388","3,614","21","5,839","93,804","124,438"
"8","CHIHUAHUA","9","IX","N. Casas Grandes","239","261","11,524","31,960","464","671","497","204","67","117","216","1,921","4","2,600","50,245","77,887"
"8","CHIHUAHUA","10","X","Ciudad Cuautémoc","277","293","10,510","29,876","424","3,314","396","218","97","87","183","796","19","2,358","48,278","82,170"
"9","DISTRITO FEDERAL","1","I","Distrito Federal","63","115","10,695","15,950","770","3,610","1,379","683","255","480","2,238","226","20","1,220","37,526","52,435"
"9","DISTRITO FEDERAL","2","II","Distrito Federal","68","123","8,953","20,934","1,020","5,550","2,745","1,109","500","834","2,174","962","50","2,312","47,143","62,843"
"9","DISTRITO FEDERAL","3","III","Distrito Federal","68","124","7,378","21,443","1,060","4,503","3,561","965","421","613","2,076","490","12","3,088","45,610","57,205"
"9","DISTRITO FEDERAL","4","IV","Distrito Federal","67","122","7,714","23,148","1,081","5,075","4,060","1,129","695","605","2,210","627","12","2,208","48,564","62,570"
"9","DISTRITO FEDERAL","5","V","Distrito Federal","55","107","4,481","20,006","712","4,657","3,085","556","401","588","1,716","410","16","1,795","38,423","51,491"
"9","DISTRITO FEDERAL","6","VI","Distrito Federal","58","108","7,347","17,813","1,091","3,513","3,854","672","360","471","1,943","338","14","2,405","39,821","50,984"
"9","DISTRITO FEDERAL","7","VII","Distrito Federal","66","122","11,185","21,699","974","3,952","2,136","487","362","369","2,230","224","25","1,935","45,578","59,255"
"9","DISTRITO FEDERAL","8","VIII","Distrito Federal","98","164","11,751","30,186","1,016","4,078","2,218","665","482","409","2,375","286","24","2,046","55,536","76,298"
"9","DISTRITO FEDERAL","9","IX","Distrito Federal","72","134","10,795","22,237","956","4,413","3,004","1,045","453","496","2,111","456","19","1,624","47,609","62,651"
"9","DISTRITO FEDERAL","10","X","Distrito Federal","258","436","24,999","61,601","4,048","16,351","17,833","3,229","2,136","1,580","4,272","1,313","42","7,875","145,279","185,249"
"9","DISTRITO FEDERAL","11","XI","Distrito Federal","77","125","11,449","20,744","1,038","3,912","2,150","844","399","361","2,039","344","141","1,842","45,263","59,748"
"9","DISTRITO FEDERAL","12","XII","Distrito Federal","68","133","7,715","18,880","2,415","5,811","3,577","784","626","499","2,370","561","15","2,278","45,531","58,761"
"9","DISTRITO FEDERAL","13","XIII","Distrito Federal","63","118","7,806","19,215","1,052","8,097","3,267","1,551","437","442","1,654","861","145","2,024","46,551","58,906"
"9","DISTRITO FEDERAL","14","XIV","Distrito Federal","85","157","11,717","25,465","1,327","7,010","3,714","1,004","664","602","2,837","695","43","2,415","57,493","73,090"
"9","DISTRITO FEDERAL","15","XV","Distrito Federal","135","258","16,402","38,570","2,583","8,845","11,968","2,332","1,081","1,080","3,885","1,218","42","4,292","92,298","118,073"
"9","DISTRITO FEDERAL","16","XVI","Distrito Federal","73","143","17,981","22,011","789","4,139","1,730","493","292","337","2,457","227","22","1,272","51,750","73,205"
"9","DISTRITO FEDERAL","17","XVII","Distrito Federal","83","160","13,060","23,691","1,170","5,392","3,542","800","604","503","2,504","437","12","1,916","53,631","72,771"
"9","DISTRITO FEDERAL","18","XVIII","Distrito Federal","66","117","8,315","20,152","1,173","5,864","2,691","716","416","554","2,455","456","263","2,068","45,123","61,176"
"9","DISTRITO FEDERAL","19","XIX","Distrito Federal","96","164","14,231","25,693","1,749","5,887","3,544","1,822","638","801","2,745","545","13","2,977","60,645","79,110"
"9","DISTRITO FEDERAL","20","XX","Distrito Federal","111","203","16,131","29,090","1,867","7,657","4,436","1,254","733","605","2,512","472","18","3,355","68,130","91,990"
"9","DISTRITO FEDERAL","21","XXI","Distrito Federal","165","301","18,154","44,123","2,898","12,030","8,719","2,212","1,406","1,273","4,153","1,172","28","4,052","100,220","134,676"
"9","DISTRITO FEDERAL","22","XXII","Distrito Federal","212","364","24,015","56,502","4,281","18,796","12,535","2,457","1,980","1,872","7,941","1,255","49","6,675","138,358","181,873"
"9","DISTRITO FEDERAL","23","XXIII","Distrito Federal","240","431","24,007","71,867","5,765","14,237","13,763","2,461","3,196","1,895","5,108","2,243","41","8,281","152,864","195,408"
"9","DISTRITO FEDERAL","24","XXIV","Distrito Federal","405","649","36,668","92,373","9,206","28,501","18,791","3,640","3,627","2,914","8,690","2,006","37","8,958","215,411","298,705"
"9","DISTRITO FEDERAL","25","XXV","Distrito Federal","124","243","11,400","36,015","3,421","14,565","8,302","2,014","2,824","1,105","2,738","963","8","4,024","87,379","115,941"
"9","DISTRITO FEDERAL","26","XXVI","Distrito Federal","269","486","24,582","75,820","5,939","25,545","14,351","4,740","2,357","2,191","5,888","1,960","47","8,251","171,671","223,779"
"9","DISTRITO FEDERAL","27","XXVII","Distrito Federal","312","554","48,150","90,913","4,498","25,670","10,468","3,573","2,057","1,880","9,591","1,512","67","5,578","203,957","260,517"
"9","DISTRITO FEDERAL","28","XXVIII","Distrito Federal","160","290","24,599","41,505","3,416","10,754","6,301","2,107","1,293","1,570","4,324","1,131","28","4,427","101,455","135,137"
"9","DISTRITO FEDERAL","29","XXIX","Distrito Federal","82","158","13,489","24,413","1,519","5,115","4,296","910","681","606","2,495","471","12","2,995","57,002","72,787"
"9","DISTRITO FEDERAL","30","XXX","Distrito Federal","92","168","8,128","29,990","2,134","7,719","6,935","1,118","796","531","2,187","536","11","2,635","62,720","80,643"
"9","DISTRITO FEDERAL","31","XXXI","Distrito Federal","107","214","15,908","35,322","2,850","9,387","8,026","2,236","950","853","3,608","1,199","26","4,475","84,840","107,205"
"9","DISTRITO FEDERAL","32","XXXII","Distrito Federal","65","121","8,795","22,026","1,138","4,590","2,151","585","370","388","2,497","449","8","2,039","45,036","59,712"
"9","DISTRITO FEDERAL","33","XXXIII","Distrito Federal","60","110","7,308","16,310","597","3,702","1,819","610","322","563","1,864","442","28","1,606","35,171","48,049"
"9","DISTRITO FEDERAL","34","XXXIV","Distrito Federal","114","209","12,104","33,918","2,057","7,403","8,003","1,383","1,003","1,071","4,485","937","8","3,562","75,934","99,378"
"9","DISTRITO FEDERAL","35","XXXV","Distrito Federal","70","129","9,675","23,832","1,353","4,733","3,483","1,032","572","497","2,188","388","24","2,993","50,770","62,859"
"9","DISTRITO FEDERAL","36","XXXVI","Distrito Federal","107","176","20,762","24,239","922","5,062","2,426","754","489","495","2,910","377","33","1,745","60,214","83,142"
"9","DISTRITO FEDERAL","37","XXXVII","Distrito Federal","117","207","15,130","32,553","2,480","8,525","6,148","1,537","830","774","3,466","794","50","3,787","76,074","99,604"
"9","DISTRITO FEDERAL","38","XXXVIII","Distrito Federal","277","424","26,625","64,823","3,861","13,895","15,426","1,830","1,385","1,542","6,454","1,399","65","6,852","144,157","196,847"
"9","DISTRITO FEDERAL","39","XXXIX","Distrito Federal","84","158","18,262","23,283","1,021","8,421","3,398","631","541","548","3,247","294","47","1,763","61,456","80,235"
"9","DISTRITO FEDERAL","40","XL","Distrito Federal","648","1,062","46,532","165,837","13,283","49,517","41,193","8,834","4,572","4,284","9,839","5,103","168","19,335","368,497","494,223"
"10","DURANGO","1","I","Durango","196","267","21,112","36,912","544","749","306","444","772","123","1,729","15,456","15","2,474","80,636","119,846"
"10","DURANGO","2","II","Gómez Palacios","202","300","9,247","37,324","789","13,990","1,523","1,297","268","280","88","1,616","11","2,876","69,309","115,194"
"10","DURANGO","3","III","Canatlán","264","296","5,007","30,454","329","206","219","147","55","36","108","948","1","1,416","38,926","65,572"
"10","DURANGO","4","IV","Guadalupe Victoria","217","259","5,269","32,805","457","1,577","432","255","128","58","110","1,608","20","1,364","44,083","76,730"
"10","DURANGO","5","V","Durango","279","319","7,356","36,423","462","536","159","511","512","83","449","13,938","30","2,170","62,629","103,722"
"10","DURANGO","6","VI","Lerdo","211","252","5,614","28,109","498","1,769","456","788","143","89","113","2,193","18","1,976","41,766","73,649"
"11","GUANAJUATO","1","I","Guanajuato","218","265","22,741","40,218","1,743","4,715","942","700","1,995","67","443","129","27","3,161","76,881","109,417"
"11","GUANAJUATO","2","II","León","253","322","53,919","51,100","458","1,005","537","562","2,286","124","550","126","11","3,763","114,441","143,574"
"11","GUANAJUATO","3","III","León","158","225","41,275","36,075","546","920","441","497","1,468","43","441","452","14","3,530","85,702","107,722"
"11","GUANAJUATO","4","IV","Irapuato","248","331","35,971","53,554","2,480","5,682","2,417","778","2,250","180","406","337","28","7,981","112,064","145,099"
"11","GUANAJUATO","5","V","Pénjamo","263","316","20,912","45,667","1,620","6,676","1,471","457","1,140","58","177","209","10","4,453","82,850","129,515"
"11","GUANAJUATO","6","VI","Salamanca","224","305","27,684","48,546","4,569","11,078","2,054","754","2,236","119","434","211","79","4,986","102,750","136,764"
"11","GUANAJUATO","7","VII","Acámbaro","249","299","14,717","54,907","2,173","8,236","2,591","1,230","2,287","115","289","380","380","7,256","94,561","122,860"
"11","GUANAJUATO","8","VIII","Celaya","273","374","41,269","61,050","1,246","2,323","5,314","768","5,019","125","2,065","301","13","5,267","124,760","159,655"
"11","GUANAJUATO","9","IX","San Miguel Allende","295","355","26,213","64,366","1,339","1,534","1,371","1,240","2,121","204","294","499","26","7,348","106,555","143,318"
"11","GUANAJUATO","10","X","Dolores Hidalgo","169","211","18,151","38,437","901","1,442","796","814","2,166","150","109","274","38","3,871","67,149","96,548"
"11","GUANAJUATO","11","XI","León","185","249","51,585","34,482","393","671","785","424","2,078","78","528","145","19","3,552","94,740","119,060"
"11","GUANAJUATO","12","XII","V. de Santiago","202","290","14,488","40,930","2,241","6,785","1,561","2,047","2,109","155","222","118","29","4,768","75,453","115,454"
"11","GUANAJUATO","13","XIII","Salvatierra","227","273","18,270","52,432","3,043","4,216","4,349","698","2,141","99","315","229","12","3,903","89,707","121,263"
"12","GUERRERO","1","I","Chilpancingo","276","316","556","31,275","644","15,962","1,057","550","240","416","316","280","62","3,075","54,433","110,132"
"12","GUERRERO","2","II","Iguala","255","278","1,694","28,736","395","18,641","973","400","94","47","201","150","24","2,926","54,281","89,450"
"12","GUERRERO","3","III","Coyuca de Catalán","322","340","351","31,728","143","14,963","734","207","35","26","60","62","12","3,092","51,413","88,921"
"12","GUERRERO","4","IV","Acapulco","109","142","1,886","19,379","741","5,962","2,250","1,141","257","64","564","371","36","1,196","33,847","68,340"
"12","GUERRERO","5","V","Tlapa","296","341","206","33,174","273","12,150","1,238","958","94","2,710","60","1,776","45","4,314","56,998","99,429"
"12","GUERRERO","6","VI","Ometepec","277","301","139","34,165","96","10,293","1,629","689","34","34","169","587","71","3,704","51,610","89,450"
"12","GUERRERO","7","VII","Acapulco","273","383","2,682","41,897","1,055","12,989","3,860","3,623","385","323","645","1,623","52","4,951","74,085","181,883"
"12","GUERRERO","8","VIII","Taxco","329","351","4,968","27,997","244","7,977","858","251","1,365","87","123","122","3","3,836","47,831","88,110"
"12","GUERRERO","9","IX","Tecpan","304","323","537","28,841","365","16,787","1,234","431","51","117","345","93","19","2,788","51,608","102,072"
"12","GUERRERO","10","X","Chilapa","258","280","1,417","31,666","230","6,615","1,397","749","636","1,468","74","676","107","4,885","49,920","89,111"
"13","HIDALGO","1","I","Pachuca","289","379","16,222","68,458","1,517","9,007","5,626","1,677","805","713","424","660","91","5,139","110,339","165,763"
"13","HIDALGO","2","II","Tulancingo","236","320","10,017","60,206","567","3,497","3,168","939","222","252","140","547","46","4,433","84,034","136,283"
"13","HIDALGO","3","III","Tula","245","347","4,322","46,923","984","13,055","3,212","11,138","310","294","220","425","62","4,137","85,082","148,879"
"13","HIDALGO","4","IV","Huejutla","265","323","841","59,561","328","639","8,875","681","283","146","85","379","38","6,306","78,162","129,212"
"13","HIDALGO","5","V","Zimapan","359","394","2,132","55,974","695","9,129","1,565","852","194","184","84","382","116","5,298","76,605","122,400"
"13","HIDALGO","6","VI","Actopan","301","324","2,191","51,302","625","5,461","2,502","819","203","192","99","381","57","3,873","67,705","112,880"
"14","JALISCO","1","I","Guadalajara","63","88","11,452","15,804","217","674","419","205","207","76","689","189","6","1,309","31,247","39,833"
"14","JALISCO","2","II","Guadalajara","110","195","20,515","42,634","698","2,127","2,297","1,076","947","389","1,259","1,076","28","3,909","76,955","102,304"
"14","JALISCO","3","III","Guadalajara","155","305","31,395","59,917","1,165","2,792","3,508","1,435","1,209","551","2,624","1,181","28","4,795","110,600","154,107"
"14","JALISCO","4","IV","Guadalajara","80","112","11,144","24,659","276","719","973","951","364","139","1,187","384","6","1,631","42,433","55,663"
"14","JALISCO","5","V","Colotlán","172","241","13,520","41,274","572","722","729","774","624","158","89","479","37","2,150","61,128","97,757"
"14","JALISCO","6","VI","Lagos de Moreno","181","269","10,425","40,438","222","304","1,178","563","9,796","193","212","252","186","4,383","68,152","111,743"
"14","JALISCO","7","VII","Yahualica","213","318","21,676","43,865","349","168","204","462","5,987","112","70","344","57","3,952","77,246","109,261"
"14","JALISCO","8","VIII","La Barca","182","308","11,754","69,504","335","2,882","1,272","1,914","448","131","490","458","113","3,742","93,043","126,124"
"14","JALISCO","9","IX","Jocotepec","142","259","13,868","50,450","827","1,618","5,316","1,629","1,220","210","603","551","8","3,609","79,909","124,296"
"14","JALISCO","10","X","Ciudad Guzmán","182","300","14,348","49,867","1,145","5,044","4,390","1,074","1,490","222","157","446","17","3,441","81,641","120,784"
"14","JALISCO","11","XI","Autlán","155","244","4,538","37,815","310","2,497","3,252","667","612","146","321","201","174","2,110","52,643","86,577"
"14","JALISCO","12","XII","Ameca","178","294","11,123","40,036","491","1,337","2,880","729","761","159","375","263","16","2,480","60,650","109,053"
"14","JALISCO","13","XIII","Guadalajara","78","98","11,100","16,339","240","805","533","291","346","138","802","325","9","961","31,889","46,428"
"14","JALISCO","14","XIV","Guadalajara","100","159","19,173","27,501","331","1,045","698","405","377","158","1,493","446","21","2,438","54,086","73,900"
"14","JALISCO","15","XV","Guadalajara","158","314","29,668","68,014","1,541","3,895","3,668","2,026","1,581","635","2,062","2,049","28","5,663","120,830","167,675"
"14","JALISCO","16","XVI","Guadalajara","167","283","25,829","63,402","906","2,191","2,982","1,475","1,663","455","1,843","896","28","5,278","106,948","140,478"
"14","JALISCO","17","XVII","Zapopan","164","305","23,599","61,228","1,586","2,090","1,625","1,300","789","393","1,435","1,380","24","5,539","100,988","140,805"
"14","JALISCO","18","XVIII","Tlaquepaque","233","448","30,248","91,382","1,617","3,062","3,977","2,387","2,285","655","2,083","1,491","26","6,970","146,183","217,322"
"14","JALISCO","19","XIX","Tamazula","196","294","4,270","39,100","431","4,042","5,295","2,139","538","123","105","315","23","2,520","58,901","98,050"
"14","JALISCO","20","XX","Zapopan","199","369","36,512","66,242","759","2,512","2,073","1,702","901","180","2,315","864","31","4,780","118,871","184,630"
"15","MEXICO","1","I","Tenancingo","342","582","2,940","66,716","1,025","12,833","3,652","850","1,568","252","458","531","61","4,516","95,402","170,063"
"15","MEXICO","2","II","Valle de Bravo","291","418","5,031","63,996","2,960","7,040","6,689","2,429","1,593","479","680","1,092","26","7,367","99,382","173,958"
"15","MEXICO","3","III","Lerma","242","441","11,115","70,833","4,986","10,921","7,513","2,105","1,517","1,208","1,708","1,591","38","6,413","119,948","193,859"
"15","MEXICO","4","IV","Toluca","87","171","13,866","33,959","3,223","3,538","2,837","1,253","889","380","2,267","988","111","3,197","66,508","88,306"
"15","MEXICO","5","V","Atlacomulco","275","428","8,063","68,883","2,030","5,944","2,965","1,372","791","278","545","671","84","6,302","97,928","152,766"
"15","MEXICO","6","VI","Cuautitlán","300","461","44,382","70,088","4,848","12,950","7,923","2,029","1,761","1,452","5,545","913","80","6,475","158,446","216,569"
"15","MEXICO","7","VII","Naucalpan","48","90","7,778","14,170","752","3,150","1,439","714","429","419","1,239","410","215","1,431","32,146","45,299"
"15","MEXICO","8","VIII","Texcoco","344","608","20,177","92,310","4,768","21,940","12,007","2,682","3,668","1,813","4,901","1,802","112","8,994","175,174","253,845"
"15","MEXICO","9","IX","Nezahualcoyotl","57","117","5,938","20,936","1,040","5,121","3,989","799","785","509","1,355","379","11","1,979","42,841","57,363"
"15","MEXICO","10","X","Nezahualcoyotl","73","136","7,397","21,470","1,413","6,699","5,440","2,169","863","518","1,756","494","5","2,231","50,455","65,605"
"15","MEXICO","11","XI","Ecatepec","161","310","15,478","52,731","5,067","15,197","8,661","2,344","2,883","1,290","2,473","1,147","20","6,707","113,998","154,234"
"15","MEXICO","12","XII","Atizapan","195","351","32,785","57,868","2,312","9,919","8,007","1,678","1,615","1,043","3,876","755","26","6,904","126,788","168,210"
"15","MEXICO","13","XIII","Huixquilucan","159","295","17,829","49,730","2,546","8,085","7,415","3,189","2,762","1,676","4,563","1,693","12","7,089","106,589","147,699"
"15","MEXICO","14","XIV","Tlalnepantla","90","167","12,126","30,850","1,499","5,564","5,124","955","974","490","1,824","433","16","2,449","62,304","81,514"
"15","MEXICO","15","XV","Chalco","407","603","20,082","110,995","6,010","15,925","14,755","3,133","3,074","2,002","3,650","2,063","228","9,743","191,660","281,425"
"15","MEXICO","16","XVI","Toluca","237","441","23,953","95,564","7,683","8,910","8,018","2,666","2,674","1,490","3,012","2,342","41","7,450","163,803","221,575"
"15","MEXICO","17","XVII","Nicolás Romero","254","487","22,646","78,604","6,255","7,409","5,846","2,332","1,797","805","1,506","1,134","45","7,912","136,291","208,509"
"15","MEXICO","18","XVIII","Naucalpan","110","188","28,733","26,170","848","3,170","1,104","1,137","444","484","2,739","314","20","1,621","66,784","95,951"
"15","MEXICO","19","XIX","Naucalpan","45","63","5,673","11,008","437","1,292","789","342","263","167","674","305","4","832","21,786","30,612"
"15","MEXICO","20","XX","Naucalpan","148","258","13,505","42,231","3,528","9,385","5,735","4,587","1,600","1,385","2,370","2,063","338","5,552","92,279","125,633"
"15","MEXICO","21","XXI","Zumpango","363","547","24,948","86,002","3,703","18,505","7,875","2,994","2,127","1,611","2,994","1,071","35","8,966","160,831","247,038"
"15","MEXICO","22","XXII","Nezahualcoyotl","88","163","7,903","27,019","1,424","6,039","10,674","1,665","1,518","577","2,298","610","9","3,749","63,485","81,436"
"15","MEXICO","23","XXIII","Nezahualcoyotl","65","120","5,179","21,276","1,290","5,990","5,291","1,314","838","604","1,470","508","11","3,403","47,174","61,487"
"15","MEXICO","24","XXIV","Nezahualcoyotl","56","99","5,802","15,316","1,090","4,208","3,293","611","626","452","1,357","365","4","1,798","34,922","46,458"
"15","MEXICO","25","XXV","Nezahualcoyotl","44","82","5,486","15,481","789","3,633","2,813","554","761","381","1,171","341","31","1,393","32,834","43,913"
"15","MEXICO","26","XXVI","Nezahualcoyotl","59","118","5,234","20,177","1,417","5,961","5,918","1,379","882","468","1,756","481","14","3,740","47,427","61,195"
"15","MEXICO","27","XXVII","Nezahualcoyotl","64","125","4,782","20,133","1,379","6,119","4,802","827","955","477","1,458","483","16","3,105","44,536","59,342"
"15","MEXICO","28","XXVIII","Nezahualcoyotl","69","135","6,433","21,968","1,302","7,776","5,180","1,772","1,016","549","1,699","501","15","2,818","51,029","68,740"
"15","MEXICO","29","XXIX","Nezahualcoyotl","72","141","5,353","22,009","2,006","7,628","5,431","925","1,114","598","1,918","591","12","2,501","50,086","67,411"
"15","MEXICO","30","XXX","Ecatepec","101","198","10,416","31,318","2,628","8,681","9,642","1,460","1,651","822","2,202","762","182","4,774","74,538","100,302"
"15","MEXICO","31","XXXI","Ecatepec","218","393","19,547","63,844","5,106","17,407","18,067","2,518","2,827","1,874","4,354","1,584","79","9,315","146,522","197,317"
"15","MEXICO","32","XXXII","Ecatepec","211","391","22,386","62,185","4,977","15,858","11,920","3,533","3,997","1,700","4,256","1,272","211","8,570","140,865","184,645"
"15","MEXICO","33","XXXIII","Tlalnepantla","118","234","23,661","39,388","2,371","9,598","5,027","1,371","1,645","976",,"696","45","5,161","89,939","122,184"
"15","MEXICO","34","XXXIV","Tultitlán","318","494","34,914","79,220","4,744","17,130","9,754","5,164","3,006","1,570","5,152","1,472","28","8,683","170,837","230,994"
"16","MICHOACAN","1","I","Morelia","250","330","18,673","57,291","509","22,433","2,009","2,128","1,215","226","1,571","515","32","2,983","109,585","151,292"
"16","MICHOACAN","2","II","Ciudad Hidalgo","242","303","3,098","43,009","393","22,507","573","1,888","3,116","119","165","219","34","4,790","79,911","111,636"
"16","MICHOACAN","3","III","Zacapu","185","217","3,308","32,733","383","28,856","1,210","2,545","773","98","494","229","17","3,965","74,611","108,557"
"16","MICHOACAN","4","IV","La Piedad","201","291","2,774","38,703","217","29,222","803","720","403","51","250","152","12","3,705","77,012","109,959"
"16","MICHOACAN","5","V","Zamora","163","249","17,365","37,557","246","9,708","1,248","857","457","91","302","211","69","4,449","72,560","97,623"
"16","MICHOACAN","6","VI","Uruapan","193","287","13,096","41,942","533","26,431","931","1,428","1,207","100","113","264","19","3,396","89,460","129,578"
"16","MICHOACAN","7","VII","Tacámbaro","202","278","2,032","29,307","493","16,784","774","1,057","1,768","77","133","199","14","3,688","56,326","96,028"
"16","MICHOACAN","8","VIII","Zitácuaro","191","301","3,612","41,763","612","21,978","974","2,271","1,341","92","725","280","40","4,558","78,246","116,947"
"16","MICHOACAN","9","IX","Apatzingán","135","175","509","24,644","186","19,537","539","819","333","32","20","107","9","1,888","48,623","75,031"
"16","MICHOACAN","10","X","Quiroga","231","327","5,746","46,619","528","26,941","1,514","3,442","1,403","168","606","404","18","5,035","92,424","138,452"
"16","MICHOACAN","11","XI","Jiquilpan","231","300","6,730","50,974","236","22,714","486","792","95","44","123","158","12","4,365","86,729","121,695"
"16","MICHOACAN","12","XII","Los Reyes","175","229","4,129","35,390","312","24,622","927","983","198","60","158","204","20","3,434","70,437","103,897"
"16","MICHOACAN","13","XIII","Lázaro Cárdenas","165","273","967","28,367","198","22,027","1,300","387","331","99","149","210","2","3,327","57,364","98,855"
