"ESTADO","NOMBRE ESTADO","DISTRITO","CABECERA DISTRITAL","SECCIONES","CASILLAS"," PAN"," PRI"," PRD"," PVEM"," PT"," MOVIMIENTO CIUDADANO"," NUEVA ALIANZA"," PRI PVEM"," PRD PT MC"," PRD PT"," PRD MC"," PT MC"," CANDIDATOS NO REGISTRADOS"," NULOS","TOTAL VOTOS","LISTA NOMINAL","OBSERVACIONES"
"9","DISTRITO FEDERAL","14","TLALPAN","142","428","21,860","23,518","59,730","5,738","8,335","4,443","5,206","8,277","20,598","4,778","863","504","158","5,606","169,614","263,828",
"9","DISTRITO FEDERAL","15","BENITO JUÁREZ","254","577","85,561","39,675","55,644","6,082","10,250","5,377","5,289","8,096","10,772","2,348","556","433","244","9,180","239,507","338,593","SDF-JIN-8  SDF-JIN-9 Y SUP-REC-138"
"9","DISTRITO FEDERAL","16","ÁLVARO OBREGÓN","219","492","38,835","27,669","61,199","6,073","7,407","4,688","6,735","8,908","18,322","4,112","911","440","192","6,681","192,172","285,116",
"9","DISTRITO FEDERAL","17","CUAJIMALPA DE MORELOS","189","522","48,502","34,595","59,308","7,697","7,401","4,119","7,745","10,522","16,438","4,259","690","428","225","7,878","209,807","317,225",
"9","DISTRITO FEDERAL","18","IZTAPALAPA","185","424","18,779","25,423","54,355","5,415","7,232","4,571","5,267","8,451","17,912","3,692","762","429","174","4,844","157,306","247,049",
"9","DISTRITO FEDERAL","19","IZTAPALAPA","164","405","14,739","20,283","58,382","4,774","7,642","4,430","4,858","7,271","21,677","4,876","827","581","110","4,663","155,113","248,422",
"9","DISTRITO FEDERAL","20","IZTAPALAPA","234","482","31,306","30,044","55,706","6,047","10,868","5,476","6,719","8,499","17,447","4,121","640","621","187","6,103","183,784","267,360",
"9","DISTRITO FEDERAL","21","MILPA ALTA","130","417","19,757","28,297","55,163","6,006","8,216","4,249","6,391","8,571","17,294","4,501","702","463","164","6,003","165,777","258,463",
"9","DISTRITO FEDERAL","22","IZTAPALAPA","152","419","12,742","20,087","55,970","5,448","8,353","4,451","4,817","7,535","22,053","5,555","860","611","142","4,792","153,416","261,125",
"9","DISTRITO FEDERAL","23","COYOACÁN","201","470","37,748","24,486","70,778","4,819","9,218","5,570","4,766","6,118","18,657","4,365","808","584","234","6,814","194,965","280,728",
"9","DISTRITO FEDERAL","24","COYOACÁN","202","458","51,201","31,441","56,586","4,970","8,167","4,482","4,332","6,983","12,755","2,825","580","410","256","7,051","192,039","265,448",
"9","DISTRITO FEDERAL","25","IZTAPALAPA","166","431","22,124","22,847","58,323","6,215","9,009","4,821","5,666","7,468","19,002","4,661","780","711","200","5,726","167,553","262,792",
"9","DISTRITO FEDERAL","26","MAGDALENA CONTRERAS","259","528","50,476","36,365","53,659","5,675","9,195","4,423","5,758","8,636","14,880","4,129","681","480","441","7,715","202,513","292,003",
"9","DISTRITO FEDERAL","27","TLÁHUAC","133","403","16,777","27,202","54,173","6,312","7,204","4,371","7,412","8,732","15,787","3,901","695","466","186","5,188","158,406","249,751",
"10","DURANGO","1","VICTORIA DE DURANGO","409","636","37,172","67,548","5,263","3,586","13,589","615","3,227",,"2,544","1,292","68","204","87","12,697","147,892","263,307",
"10","DURANGO","2","GÓMEZ PALACIO","255","561","52,139","74,151","18,879","5,888","3,951","1,695","5,171",,"5,171","1,389","271","146","81","15,960","184,892","316,333",
"10","DURANGO","3","GUADALUPE VICTORIA","489","671","48,738","72,648","7,291","6,797","6,799","811","3,593",,"2,671","1,284","128","210","46","14,886","165,902","269,424",
"10","DURANGO","4","VICTORIA DE DURANGO","241","520","41,983","63,092","11,345","3,848","33,315","1,496","4,567",,"6,035","2,372","115","602","97","11,015","179,882","296,066","SG -JIN-3 Y SUP-REC-98"
"11","GUANAJUATO","1","SAN LUIS DE LA PAZ","213","408","49,054","43,086","8,714","7,253","2,022","1,000","5,559","5,886","752","386","65","49","73","6,875","130,774","219,134",
"11","GUANAJUATO","2","SAN MIGUEL DE ALLENDE","208","431","58,328","39,376","10,442","6,972","2,143","2,334","6,001","5,163","700","289","83","60","59","8,380","140,330","236,840",
"11","GUANAJUATO","3","LEÓN","191","527","84,790","59,963","7,961","9,301","1,582","1,321","6,023","15,194","996","276","73","77","131","8,531","196,219","325,461","En este caso se tomaron los resultados consignados en la sentencia del TEPJF"
"11","GUANAJUATO","4","GUANAJUATO","211","510","65,076","55,492","11,441","8,426","2,655","2,005","6,737","7,695","1,229","437","91","72","116","9,126","170,598","295,684",
"11","GUANAJUATO","5","LEÓN","228","534","90,214","57,681","7,636","10,142","1,513","1,372","5,124","12,791","901","216","52","36","129","8,603","196,410","311,504",
"11","GUANAJUATO","6","LEÓN","203","512","82,391","57,270","8,295","10,471","1,712","1,462","6,252","15,376","1,213","321","54","57","136","8,244","193,254","314,522",
"11","GUANAJUATO","7","SAN FRANCISCO DEL RINCÓN","212","492","66,466","56,328","9,827","9,159","1,170","914","3,776","9,442","1,051","389","98","37","62","6,379","165,098","282,365",
"11","GUANAJUATO","8","SALAMANCA","226","514","80,801","49,012","12,649","9,956","2,878","2,420","10,431","6,551","1,794","469","123","81","69","7,719","184,953","296,078",
"11","GUANAJUATO","9","IRAPUATO","202","483","70,670","58,405","7,864","5,112","1,556","1,607","3,951","9,969","1,357","420","119","58","85","6,462","167,635","281,300",
"11","GUANAJUATO","10","URIANGATO","246","477","60,746","35,691","12,460","13,863","2,998","1,528","7,425","4,476","1,342","504","102","66","77","7,218","148,496","263,346",
"11","GUANAJUATO","11","PÉNJAMO","241","454","58,405","48,478","10,439","6,228","2,306","900","2,954","7,762","1,022","553","70","43","26","6,285","145,471","245,844",
"11","GUANAJUATO","12","CELAYA","188","459","64,998","46,362","13,796","9,703","2,696","2,223","5,922","9,717","2,050","423","153","90","53","7,593","165,779","271,471","SM -JIN-16"
"11","GUANAJUATO","13","VALLE DE SANTIAGO","198","467","61,420","27,771","22,932","10,578","2,063","1,548","9,523","5,136","1,892","753","208","93","57","6,855","150,829","257,487",
"11","GUANAJUATO","14","ACÁMBARO","256","479","50,059","34,213","20,722","7,408","1,980","6,001","3,794","6,148","1,902","824","236","99","42","7,031","140,459","259,202",
"12","GUERRERO","1","CD. ALTAMIRANO","419","576","8,851","54,447","57,792","4,269","1,731","5,600","1,435",,"3,454","2,021","463","98","87","9,155","149,403","237,977",
"12","GUERRERO","2","IGUALA","409","613","24,224","49,161","49,094","7,051","4,043","1,856","5,025",,"6,068","2,406","492","167","125","11,207","160,919","272,732",
"12","GUERRERO","3","ZIHUATANEJO","344","554","6,473","53,874","49,661","2,696","1,759","3,217","11,913",,"6,097","2,922","662","162","28","11,666","151,130","251,223",
"12","GUERRERO","4","ACAPULCO","221","510","12,882","34,310","38,637","7,565","2,967","12,931","4,294","12,151","13,304","2,072","1,648","407","107","5,712","148,987","295,000",
"12","GUERRERO","5","TLAPA","306","531","15,558","48,084","57,044","2,370","14,682","9,319","2,255",,"3,114","2,908","536","276","39","11,046","167,231","243,272",
"12","GUERRERO","6","CHILAPA","329","535","13,592","57,883","46,418","6,463","8,143","10,168","3,326",,"3,839","2,143","863","216","77","13,116","166,247","259,101",
"12","GUERRERO","7","CHILPANCINGO","253","506","13,160","45,003","56,425","5,464","3,234","7,557","3,511",,"8,629","2,638","942","230","95","12,434","159,322","271,675",
"12","GUERRERO","8","AYUTLA DE LOS LIBRES","318","497","30,157","34,851","46,457","10,986","5,427","1,569","2,761",,"4,299","3,076","465","110","55","13,562","153,775","229,278",
"12","GUERRERO","9","ACAPULCO","161","468","13,741","35,667","38,734","4,968","2,835","8,067","3,764","10,790","10,781","2,270","1,358","284","122","6,104","139,485","282,887",
"13","HIDALGO","1","HUEJUTLA DE REYES","268","471","30,727","69,462","33,143","2,689","3,482","1,458","11,008",,"3,152","1,579","256","87","85","13,069","170,197","241,402",
"13","HIDALGO","2","IXMIQUILPAN","376","559","22,418","58,751","33,706","6,223","8,504","1,780","10,834",,"5,932","2,688","376","182","79","11,492","162,965","260,374",
"13","HIDALGO","3","ACTOPAN","295","518","20,722","64,310","33,945","8,586","6,374","2,030","20,356",,"6,730","2,474","343","171","53","12,246","178,340","276,017",
"13","HIDALGO","4","TULANCINGO DE BRAVO","196","431","42,437","51,783","19,115","7,232","2,436","1,135","6,657",,"3,152","1,235","226","103","67","10,665","146,243","233,630",
"13","HIDALGO","5","TULA DE ALLENDE","214","476","27,116","67,220","40,387","11,623","3,194","2,417","8,456",,"8,084","2,557","509","178","61","12,997","184,799","276,905",
"13","HIDALGO","6","PACHUCA DE SOTO","159","462","53,682","56,040","27,223","6,373","3,920","2,897","13,775",,"7,289","1,707","396","271","124","11,702","185,399","279,475",
"13","HIDALGO","7","TEPEAPULCO","209","499","33,252","64,692","28,624","7,542","4,065","2,711","20,172",,"7,688","2,199","503","229","48","14,622","186,347","293,835",
"14","JALISCO","1","TEQUILA","223","478","54,132","61,650","13,479","3,837","4,216","11,761","5,925","8,561","1,242","377","240","894","48","5,542","171,904","256,039",
"14","JALISCO","2","LAGOS DE MORENO","196","458","65,136","55,573","7,206","6,384","1,067","7,266","4,673","9,949","911","243","166","140","89","6,356","165,159","260,521",
"14","JALISCO","3","TEPATITLÁN DE MORELOS","203","473","67,195","60,410","4,040","5,166","1,122","13,141","3,476","7,726","846","148","179","202","191","7,312","171,154","271,112",
"14","JALISCO","4","ZAPOPAN","131","441","47,984","58,204","10,053","5,898","2,920","22,142","5,818","12,970","3,568","418","466","513","207","6,583","177,744","279,196",
"14","JALISCO","5","PUERTO VALLARTA","190","519","47,488","55,663","15,556","4,176","2,790","26,488","6,667","8,880","5,155","577","895","804","92","6,319","181,550","298,038",
"14","JALISCO","6","ZAPOPAN","147","487","73,646","58,100","11,301","5,974","2,582","20,722","5,143","12,501","3,639","430","499","370","230","9,279","204,416","311,874",
"14","JALISCO","7","TONALÁ","81","410","40,329","54,819","9,206","6,536","3,764","19,498","5,533","12,904","4,127","470","422","455","128","5,915","164,106","273,720",
"14","JALISCO","8","GUADALAJARA","251","459","57,691","51,422","10,523","4,703","2,564","20,582","4,155","10,737","3,077","318","433","404","162","7,303","174,074","246,476",
"14","JALISCO","9","GUADALAJARA","159","409","41,773","49,684","9,743","5,721","3,526","22,959","5,018","11,570","4,200","411","481","521","140","6,280","162,027","246,158",
"14","JALISCO","10","ZAPOPAN","103","424","66,337","43,100","10,829","6,270","2,647","23,852","4,377","11,266","4,278","432","537","492","226","8,652","183,295","278,935",
"14","JALISCO","11","GUADALAJARA","174","416","39,737","50,721","9,005","5,699","2,718","24,314","4,720","12,045","4,378","405","615","573","117","5,570","160,617","248,628",
"14","JALISCO","12","TLAJOMULCO DE ZUÑIGA","183","645","61,558","70,422","17,806","9,745","3,617","53,711","7,539","16,045","6,053","579","1,050","1,051","157","9,883","259,216","411,549",
"14","JALISCO","13","GUADALAJARA","230","460","49,023","51,707","10,190","5,853","2,790","24,339","5,162","11,747","3,852","389","526","514","160","6,513","172,765","252,209",
"14","JALISCO","14","GUADALAJARA","167","418","50,232","46,226","9,290","7,576","2,619","24,109","4,339","12,908","3,954","431","596","528","117","6,627","169,552","250,195",
"14","JALISCO","15","BARCA  LA","193","463","53,400","57,010","12,639","5,374","5,417","8,948","4,706","8,904","1,836","534","312","794","70","6,153","166,097","267,312",
"14","JALISCO","16","TLAQUEPAQUE","158","462","47,496","54,424","10,005","6,793","2,640","27,154","5,055","13,286","4,491","455","627","477","114","6,371","179,388","284,442",
"14","JALISCO","17","JOCOTEPEC","207","490","53,374","58,870","11,760","6,632","3,941","19,004","7,711","9,452","2,085","374","307","613","90","6,122","180,335","279,250",
"14","JALISCO","18","AUTLÁN DE NAVARRO","234","497","63,206","56,374","13,699","3,858","1,751","15,816","11,219","6,790","1,948","435","388","361","66","6,570","182,481","277,784",
"14","JALISCO","19","CIUDAD GUZMÁN","246","502","46,963","58,654","20,522","5,127","2,980","13,752","8,622","8,222","2,429","669","444","558","57","6,213","175,212","266,913",
"15","MEXICO","1","JILOTEPEC DE ANDRÉS MOLINA ENRIQUEZ","189","444","36,742","77,062","15,770","3,645","4,664","4,508","4,261","14,607","2,669","1,289","230","128","50","6,488","172,113","238,267",
"15","MEXICO","2","TEOLOYUCÁN","126","436","39,876","56,171","31,847","5,108","3,441","8,509","6,765","12,561","6,880","1,336","484","205","114","5,242","178,539","272,229",
"15","MEXICO","3","ATLACOMULCO DE FABELA","162","410","35,633","64,960","12,386","3,795","2,080","4,396","6,694","12,995","2,328","589","342","163","77","6,560","152,998","225,272",
"15","MEXICO","4","NICOLÁS ROMERO","138","495","41,881","55,775","40,812","5,493","4,237","6,780","7,552","16,344","10,559","2,692","690","267","110","5,339","198,531","317,634",
"15","MEXICO","5","TEOTIHUACÁN DE ARISTA","177","488","33,662","71,155","46,588","5,567","7,523","7,705","5,949","14,913","7,510","2,389","638","373","91","6,032","210,095","293,167",
"15","MEXICO","6","COACALCO DE BERRIOZABAL","136","469","41,695","50,423","48,781","5,026","4,132","3,390","9,693","14,029","9,629","2,508","558","169","137","5,325","195,495","300,748","ST-JIN-19 Y SUP-REC-126"
"15","MEXICO","7","CUAUTITLÁN IZCALLI","205","493","54,037","51,186","41,445","4,949","6,781","3,617","7,518","13,971","10,080","2,418","423","305","195","5,640","202,565","293,162",
"15","MEXICO","8","TULTITLÁN DE MARIANO ESCOBEDO","125","353","21,344","41,259","32,819","4,185","3,012","3,722","6,698","11,936","7,354","1,787","553","209","85","3,759","138,722","217,480",
"15","MEXICO","9","IXTLAHUACA DE RAYÓN","141","443","31,111","75,611","14,059","5,244","7,404","12,779","6,999","15,639","3,798","894","487","268","88","7,593","181,974","268,900",
"15","MEXICO","10","ECATEPEC DE MORELOS","188","504","27,730","54,430","43,627","6,940","3,932","3,393","7,024","17,676","11,906","2,821","660","238","143","4,861","185,381","310,060","ST -JIN-12 Y SUP-REC-131"
"15","MEXICO","11","ECATEPEC DE MORELOS","151","410","26,866","48,997","37,637","4,966","3,682","3,116","6,130","13,767","9,104","2,125","547","254","153","4,572","161,916","246,589",
"15","MEXICO","12","IXTAPALUCA","242","575","35,808","58,569","52,301","7,323","4,377","6,647","9,071","14,983","11,234","2,427","747","288","711","6,886","211,372","339,014","ST-JIN-5"
"15","MEXICO","13","ECATEPEC DE MORELOS","170","399","19,581","43,566","36,704","4,152","3,543","2,574","5,074","13,940","10,531","2,263","508","261","123","3,899","146,719","232,312","ST -JIN-11"
"15","MEXICO","14","CIUDAD ADOLFO LÓPEZ MATEOS","114","427","46,456","43,199","31,659","4,373","4,148","2,878","5,846","12,774","9,527","2,014","519","223","114","4,789","168,519","271,157","ST -JIN-9"
"15","MEXICO","15","TLALNEPANTLA DE BAZ","166","431","61,417","41,993","30,954","4,605","4,293","3,033","5,687","10,418","6,558","1,606","408","218","130","5,634","176,954","258,816",
"15","MEXICO","16","ECATEPEC DE MORELOS","137","454","24,389","52,423","41,497","5,378","4,497","2,968","7,289","14,961","10,232","2,880","638","256","125","4,983","172,516","292,495",
"15","MEXICO","17","ECATEPEC DE MORELOS","161","415","19,854","41,983","40,296","4,607","3,835","3,048","9,599","13,577","10,987","2,224","607","224","110","4,334","155,285","244,840","ST-JIN-3 Y SUP-REC-132"
"15","MEXICO","18","HUIXQUILUCAN DE DEGOLLADO","151","465","53,854","64,361","33,998","5,693","8,424","2,846","6,229","12,886","5,855","1,918","336","206","122","6,250","202,978","289,532",
"15","MEXICO","19","TLALNEPANTLA DE BAZ","188","414","35,578","44,450","36,728","4,204","4,118","2,508","4,676","12,369","8,564","1,970","458","214","137","4,410","160,384","235,899",
"15","MEXICO","20","CD. NEZAHUALCOYOTL","155","354","17,910","39,055","39,265","3,616","3,480","4,765","3,799","10,561","9,566","1,756","650","250","167","3,523","138,363","208,044",
"15","MEXICO","21","NAUCALPAN DE JUÁREZ","129","378","45,188","43,720","24,714","4,064","3,098","1,983","4,501","11,889","5,540","1,555","295","179","115","4,310","151,151","234,675",
"15","MEXICO","22","NAUCALPAN DE JUÁREZ","190","364","43,180","36,817","22,901","3,315","3,251","1,791","3,635","10,147","5,641","1,473","246","125","117","3,841","136,480","204,541",
"15","MEXICO","23","VALLE DE BRAVO","181","446","40,511","67,745","31,793","4,066","6,787","2,166","6,243","13,754","3,191","2,967","198","139","59","8,365","187,984","256,846",
"15","MEXICO","24","NAUCALPAN DE JUÁREZ","133","352","25,002","41,958","24,304","3,537","2,765","1,882","3,525","11,856","6,529","1,747","331","167","154","3,353","127,110","212,350",
"15","MEXICO","25","CHIMALHUACÁN","105","400","15,015","49,229","34,054","4,258","3,117","2,659","4,834","15,400","9,601","2,259","599","201","86","3,752","145,064","258,642",
"15","MEXICO","26","TOLUCA DE LERDO","128","447","48,128","72,021","21,969","5,245","3,137","1,884","8,014","18,134","4,186","1,239","246","129","123","5,917","190,372","277,742",
"15","MEXICO","27","METEPEC","135","421","45,919","71,059","23,352","4,696","10,622","3,789","6,436","13,629","3,758","1,451","202","206","156","6,302","191,577","266,238",
"15","MEXICO","28","ZUMPANGO DE OCAMPO","217","591","56,660","85,506","41,051","6,387","4,694","4,555","12,193","20,819","8,198","1,936","675","370","234","6,241","249,519","362,384",
