"ESTADO","NOMBRE ESTADO","DISTRITO","CABECERA DISTRITAL","SECCIONES","CASILLAS"," PAN"," PRI"," PRD"," PT"," PVEM"," CONVERGENCIA"," PSN"," PAS"," MP"," PLM"," FC"," APT"," CANDIDATOS NO REGISTRADOS"," NULOS","TOTAL VOTOS","LISTA NOMINAL"
"9","DISTRITO FEDERAL","7","Gustavo A. Madero","172","353","23,836","12,844","41,275","1,386","8,310","1,197","282","285","1,532","424","517",,"77","4,038","96,003","207,326"
"9","DISTRITO FEDERAL","8","Cuauhtémoc","195","410","17,830","12,029","51,143","920","7,218","982","236","514","2,001","452","416",,"107","3,964","97,812","232,941"
"9","DISTRITO FEDERAL","9","Venustiano Carranza","156","321","21,239","11,255","32,907","1,257","6,754","1,484","224","241","1,872","390","501",,"92","3,101","81,317","185,202"
"9","DISTRITO FEDERAL","10","Miguel Hidalgo","196","375","37,742","11,570","28,414","552","6,568","1,283","294","165","2,590","340","509",,"115","3,156","93,298","204,899"
"9","DISTRITO FEDERAL","11","Venustiano Carranza","181","360","20,823","11,283","40,754","923","6,919","1,616","395","244","1,693","577","545",,"119","3,439","89,330","206,132"
"9","DISTRITO FEDERAL","12","Cuauhtémoc","194","389","27,436","11,876","39,513","735","6,887","1,150","347","447","3,739","404","608",,"133","3,430","96,705","216,214"
"9","DISTRITO FEDERAL","13","Iztacalco","198","396","17,696","10,351","49,117","1,474","8,021","1,314","229","448","1,660","515","484",,"71","3,741","95,121","222,292"
"9","DISTRITO FEDERAL","14","Iztacalco","165","340","27,386","10,857","36,549","1,347","7,978","1,373","289","232","2,721","477","515",,"131","3,117","92,972","198,771"
"9","DISTRITO FEDERAL","15","Benito Juárez","190","414","52,401","13,223","28,857","621","6,797","1,296","299","213","5,674","376","781",,"163","2,961","113,662","237,868"
"9","DISTRITO FEDERAL","16","Alvaro Obregón","160","345","21,745","9,687","38,137","1,086","7,895","1,219","312","514","1,479","434","591",,"65","3,951","87,115","195,174"
"9","DISTRITO FEDERAL","17","Cuajimalpa","155","349","22,799","9,899","37,652","1,250","8,333","1,562","257","1,230","1,480","955","466",,"91","4,153","90,127","206,777"
"9","DISTRITO FEDERAL","18","Iztapalapa","204","421","20,946","11,258","47,448","1,594","8,872","2,038","357","402","1,763","567","526",,"109","4,275","100,155","240,012"
"9","DISTRITO FEDERAL","19","Iztapalapa","174","368","15,868","9,915","46,148","1,177","8,242","1,297","405","227","1,327","462","530",,"148","4,009","89,755","219,692"
"9","DISTRITO FEDERAL","20","Iztapalapa","212","429","25,853","10,982","48,560","1,875","9,482","1,913","412","488","2,382","557","886",,"100","4,120","107,610","240,518"
"9","DISTRITO FEDERAL","21","Alvaro Obregón","204","392","40,468","10,767","31,580","1,506","6,371","1,198","208","329","3,928","402","566",,"307","3,445","101,075","212,468"
"9","DISTRITO FEDERAL","22","Iztapalapa","198","462","13,299","9,834","55,132","1,362","9,136","2,249","441","280","1,353","490","417",,"132","5,022","99,147","280,995"
"9","DISTRITO FEDERAL","23","Coyoacán","187","429","26,648","11,478","51,220","2,230","8,691","1,381","294","346","3,499","1,001","688",,"129","4,224","111,829","249,086"
"9","DISTRITO FEDERAL","24","Coyoacán","177","400","36,344","12,959","41,500","1,042","9,169","2,067","371","394","3,944","567","772",,"229","3,401","112,759","233,455"
"9","DISTRITO FEDERAL","25","Iztapalapa","215","465","19,482","10,466","58,574","1,219","9,557","1,516","434","579","1,772","450","440",,"95","4,691","109,275","275,554"
"9","DISTRITO FEDERAL","26","Magdalena Contreras","187","388","24,474","10,527","39,980","2,080","8,309","2,191","297","501","2,867","605","614",,"166","4,632","97,243","221,098"
"9","DISTRITO FEDERAL","27","Tláhuac","177","430","16,467","21,552","48,611","2,811","10,181","1,929","628","1,464","1,827","566","924",,"142","4,817","111,919","266,404"
"9","DISTRITO FEDERAL","28","Xochimilco","174","434","21,891","13,542","45,727","2,568","10,049","2,014","334","595","2,423","853","769",,"198","4,321","105,284","255,666"
"9","DISTRITO FEDERAL","29","Tlalpan","179","364","24,076","10,357","41,163","1,322","7,978","1,539","241","433","2,676","338","493",,"87","4,182","94,885","213,980"
"9","DISTRITO FEDERAL","30","Tlalpan","175","385","29,889","11,637","39,042","1,045","8,240","2,901","373","188","3,318","374","535",,"151","3,491","101,184","220,699"
"10","DURANGO","1","Santiago Papasquiaro","378","434","17,482","34,872","894","2,960","1,072","133","44","127","55","48","127",,"11","1,924","59,749","143,806"
"10","DURANGO","2","Gómez Palacio","234","407","14,446","56,553","3,609","1,879","2,444","351","52","290","340","85","183",,"52","1,928","82,212","209,659"
"10","DURANGO","3","Lerdo","302","434","19,974","33,458","4,200","2,366","2,481","242","59","247","513","105","196",,"21","2,132","65,994","184,697"
"10","DURANGO","4","Victoria de Durango","263","437","22,728","34,687","2,950","10,989","3,220","321","138","190","237","148","117",,"24","2,783","78,532","214,897"
"10","DURANGO","5","Victoria de Durango","199","374","26,023","34,275","2,885","8,460","2,648","521","85","141","166","249","140",,"47","2,735","78,375","202,253"
"11","GUANAJUATO","1","Dolores Hidalgo","188","318","29,535",,"5,977","13,180",,"227","710","5,971","279","342","234","21,495","113","4,610","82,673","166,416"
"11","GUANAJUATO","2","San Miguel de Allende","264","434","43,477",,"21,393","3,689",,"7,322","589","2,520","1,238","230","598","28,948","39","7,481","117,524","214,841"
"11","GUANAJUATO","3","León","214","469","75,238",,"4,569","1,739",,"1,210","389","1,004","1,071","973","831","47,675","39","3,797","138,535","270,099"
"11","GUANAJUATO","4","Guanajuato","171","333","29,906",,"9,756","1,465",,"2,750","277","1,823","611","1,123","498","30,833","111","2,872","82,025","181,827"
"11","GUANAJUATO","5","León","197","412","65,931",,"4,028","1,407",,"1,234","532","1,029","950","920","744","42,796","96","3,488","123,155","240,050"
"11","GUANAJUATO","6","León","187","387","60,015",,"3,908","1,436",,"1,214","298","837","962","769","625","40,226","46","3,011","113,347","223,788"
"11","GUANAJUATO","7","San Francisco del Rincón","199","329","34,877",,"9,223","1,951",,"386","123","1,545","273","309","340","37,335","34","2,868","89,264","171,005"
"11","GUANAJUATO","8","Salamanca","190","365","49,716",,"9,471","2,442",,"4,268","3,782","1,394","1,580","395","442","24,099","40","2,930","100,559","199,398"
"11","GUANAJUATO","9","Irapuato","249","518","75,500",,"8,104","2,406",,"793","180","322","880","196","433","43,946","32","3,188","135,980","285,945"
"11","GUANAJUATO","10","Apaseo el Grande","166","300","29,373",,"8,971","2,372",,"6,956","172","2,323","442","304","217","25,240","111","5,544","82,025","164,607"
"11","GUANAJUATO","11","Pénjamo","177","306","25,382",,"16,478","5,042",,"287","88","298","159","94","215","23,234","5","2,775","74,057","164,630"
"11","GUANAJUATO","12","Celaya","231","453","53,169",,"17,803","2,369",,"1,009","262","732","1,070","5,754","882","28,482","79","3,375","114,986","256,090"
"11","GUANAJUATO","13","Valle de Santiago","156","313","22,703",,"27,491","3,705",,"934","135","540","448","693","283","23,277","38","3,012","83,259","173,141"
"11","GUANAJUATO","14","Acámbaro","203","320","26,634",,"19,632","1,412",,"402","106","176","287","249","161","21,020","31","3,566","73,676","161,641"
"11","GUANAJUATO","15","Salvatierra","212","377","34,470",,"17,149","2,099",,"1,196","173","468","699","807","1,047","30,709","100","4,441","93,358","202,157"
"12","GUERRERO","1","Coyuca de Catalán","332","432","1,575","27,580","25,352","240","800","219","32","209","51","204","18",,"7","777","57,064","167,003"
"12","GUERRERO","2","Taxco de Alarcón","357","447","7,053","25,785","19,528","1,963","2,310","233","351","143","315","71","46",,"21","1,390","59,209","161,233"
"12","GUERRERO","3","José Azueta","343","487","4,669","26,290","29,182","315","1,538","1,402","364","243","155","42","74",,"12","1,163","65,449","203,244"
"12","GUERRERO","4","Iguala","251","389","4,038","31,951","22,628","1,259","2,222","592","312","84","300","121","74",,"48","1,718","65,347","185,294"
"12","GUERRERO","5","Tlapa de Comonfort","218","314","1,103","19,164","27,415","1,217","589","345","191","99","102","236","49",,"14","1,955","52,479","136,380"
"12","GUERRERO","6","Chilapa de Alvarez","302","399","2,606","29,309","17,581","2,299","1,978","1,800","275","314","191","73","69",,"33","3,357","59,885","165,363"
"12","GUERRERO","7","Chilpancingo de los Bravo","249","425","4,695","30,893","21,337","987","2,672","1,634","697","283","475","292","84",,"19","1,657","65,725","212,703"
"12","GUERRERO","8","Ometepec","320","450","2,403","36,727","20,491","4,614","818","868","295","336","194","42","61",,"11","2,405","69,265","194,145"
"12","GUERRERO","9","Acapulco","199","450","4,695","17,746","29,824","901","4,039","3,897","893","580","437","164","815",,"41","2,407","66,439","256,804"
"12","GUERRERO","10","Acapulco","184","398","4,781","13,013","27,375","587","2,428","16,986","366","407","558","193","822",,"66","1,904","69,486","224,910"
"13","HIDALGO","1","Huejutla de Reyes","267","392","22,117","44,279","14,057","4,698","1,696","605","255","440","247","156","182",,"220","4,806","93,758","191,105"
"13","HIDALGO","2","Ixmiquilpan","370","485","14,411","42,155","14,804","2,146","2,865","527","227","236","318","271","321",,"47","3,163","81,491","212,961"
"13","HIDALGO","3","Atotonilco el Grande","281","423","13,823","33,027","12,733","893","2,186","521","109","235","228","138","208",,"32","1,962","66,095","208,275"
"13","HIDALGO","4","Tulancingo","195","360","14,798","30,160","10,999","4,882","3,291","690","163","224","300","354","171",,"28","2,269","68,329","194,142"
"13","HIDALGO","5","Tula de Allende","204","407","17,142","34,111","21,863","1,829","4,972","1,107","295","301","253","194","142",,"24","1,677","83,910","221,291"
"13","HIDALGO","6","Pachuca de Soto","191","407","25,440","45,337","10,602","1,261","6,738","1,147","225","221","1,114","616","512",,"28","2,417","95,658","229,977"
"13","HIDALGO","7","Tepeapulco","198","372","19,025","30,647","7,985","3,300","5,517","656","211","1,728","356","383","205",,"53","2,202","72,268","203,517"
"14","JALISCO","1","Colotlán","196","355","36,760","48,287","12,535","705","6,200","350","52","652","340","284","1,015",,"29","2,831","110,040","180,767"
"14","JALISCO","2","Lagos de Moreno","210","411","42,934","41,023","4,755","1,023","11,343","210","116","15,794","650","142","83",,"67","3,942","122,082","221,620"
"14","JALISCO","3","Tepatitlán de Morelos","202","408","61,049","44,699","4,909","891","9,309","299","111","713","208","86","108",,"399","4,296","127,077","221,598"
"14","JALISCO","4","Zapopan","138","406","43,864","54,394","7,643","978","11,423","862","140","314","996","277","437",,"47","2,483","123,858","249,306"
"14","JALISCO","5","Puerto Vallarta","186","410","34,727","53,753","11,184","2,027","10,565","876","68","368","210","242","69",,"21","2,735","116,845","217,589"
"14","JALISCO","6","Zapopan","120","397","42,441","54,221","4,954","854","11,685","769","203","385","782","346","551",,"53","2,402","119,646","250,496"
"14","JALISCO","7","Tonalá","146","448","53,332","60,887","7,861","1,340","11,433","631","161","1,128","769","1,083","336",,"42","4,801","143,804","275,630"
"14","JALISCO","8","Guadalajara","166","366","53,078","45,949","5,152","730","8,756","803","192","305","1,438","247","514",,"74","1,829","119,067","212,777"
"14","JALISCO","9","Guadalajara","140","341","40,964","45,494","4,681","818","10,075","790","161","241","684","426","419",,"38","2,160","106,951","203,066"
"14","JALISCO","10","Zapopan","119","336","59,984","32,678","4,559","429","8,128","803","150","203","1,611","198","424",,"60","1,548","110,775","208,246"
"14","JALISCO","11","Guadalajara","155","349","42,838","46,288","5,537","1,167","9,965","1,065","126","252","767","299","640",,"35","2,083","111,062","206,263"
"14","JALISCO","12","Guadalajara","186","377","57,967","36,759","5,643","844","9,538","860","192","253","1,649","317","424",,"58","1,743","116,247","206,421"
"14","JALISCO","13","Guadalajara","182","370","44,384","46,451","4,821","661","9,808","803","150","325","850","267","535",,"32","1,997","111,084","204,127"
"14","JALISCO","14","Guadalajara","152","350","41,808","39,415","4,924","958","11,451","785","184","243","726","301","297",,"25","1,824","102,941","207,052"
"14","JALISCO","15","La Barca","198","424","48,670","50,015","13,732","1,507","9,808","2,314","84","1,330","162","320","62",,"45","2,903","130,952","233,780"
"14","JALISCO","16","Tlaquepaque","154","445","51,833","52,394","7,609","1,493","15,142","913","183","297","716","426","392",,"39","3,368","134,805","278,265"
"14","JALISCO","17","Jocotepec","193","438","46,503","48,773","15,726","7,420","18,931","1,545","143","449","1,056","667","162",,"93","3,272","144,740","247,083"
"14","JALISCO","18","Autlán de Navarro","224","424","46,038","49,420","16,328","3,656","3,390","155","121","3,027","500","1,389","84",,"23","3,117","127,248","218,278"
"14","JALISCO","19","Ciudad Guzmán","251","453","47,169","58,795","11,701","1,359","6,403","969","84","1,255","1,293","186","387",,"18","3,581","133,200","226,820"
"15","MEXICO","1","Atlacomulco de Fabela","213","410","23,758",,"4,975","1,209",,"1,149","172","177","524","180","570","48,669","31","3,464","84,878","204,691"
"15","MEXICO","2","Zumpango de Ocampo","170","403","18,162",,"11,987","962",,"3,286","250","834","701","424","501","30,832","21","2,223","70,183","236,552"
"15","MEXICO","3","San Felipe del Progreso","180","339","8,262",,"7,952","1,134",,"668","454","227","395","1,038","676","35,622","24","3,783","60,235","171,299"
"15","MEXICO","4","Nicolás Romero","157","422","35,897",,"8,413","1,641",,"2,741","355","369","947","489","615","30,447","16","2,750","84,680","250,005"
"15","MEXICO","5","Teotihuacan","208","457","22,744",,"20,756","2,291",,"1,699","501","293","1,114","349","610","46,554","24","3,040","99,975","258,340"
"15","MEXICO","6","Coacalco de Berriozabal","152","402","26,941",,"19,600","895",,"1,396","639","308","1,309","614","1,007","25,615","22","2,288","80,634","243,250"
"15","MEXICO","7","Cuautitilán Izcalli","220","510","52,476",,"20,273","2,552",,"2,195","622","842","2,670","698","1,205","33,825","58","3,367","120,783","299,453"
"15","MEXICO","8","Tultitlán de Mariano Escobedo","199","504","24,086",,"40,239","1,668",,"1,705","933","453","1,619","568","1,003","32,063","29","3,135","107,501","303,144"
"15","MEXICO","9","Ixtlahuaca de Rayón","166","372","13,813",,"6,042","3,763",,"7,036","216","186","625","702","311","34,138","14","3,874","70,720","204,573"
"15","MEXICO","10","Ecatepec de Morelos","163","482","28,959",,"26,729","1,351",,"1,278","1,025","457","1,552","509","822","32,511","24","3,334","98,551","297,399"
"15","MEXICO","11","Ecatepec de Morelos","150","393","27,684",,"23,052","1,054",,"1,207","500","283","1,282","358","673","27,268","60","2,840","86,261","239,250"
"15","MEXICO","12","Texcoco de Mora","194","553","19,614",,"35,856","2,494",,"1,906","515","660","1,585","705","896","43,654","34","4,479","112,398","335,467"
"15","MEXICO","13","Ecatepec de Morelos","152","417","23,713",,"23,530","1,268",,"1,081","441","344","1,266","398","722","24,333","26","2,811","79,933","252,377"
"15","MEXICO","14","Atizapán de Zaragoza","167","503","51,132",,"20,201","1,908",,"1,955","652","993","2,237","794","786","27,742","69","3,289","111,758","311,600"
"15","MEXICO","15","Tlalnepantla de Baz","130","305","33,698",,"19,677","751",,"843","187","217","1,241","546","526","12,472","41","1,877","72,076","178,991"
"15","MEXICO","16","Tlalnepantla de Baz","130","309","32,728",,"11,495","765",,"1,245","233","237","729","341","569","17,595","40","2,386","68,363","183,527"
"15","MEXICO","17","Ecatepec de Morelos","183","418","22,227",,"26,057","1,331",,"1,750","536","350","1,467","1,097","915","29,251","37","2,921","87,939","242,908"
"15","MEXICO","18","Huixquilucan de Degollado","124","313","18,163",,"14,619","1,282",,"1,145","316","223","1,059","211","398","28,980","45","2,247","68,688","188,748"
"15","MEXICO","19","Tlalnepantla de Baz","120","285","37,817",,"13,336","649",,"1,211","222","233","1,539","520","1,396","12,437","23","2,066","71,449","161,322"
"15","MEXICO","20","Ciudad Nezahualcóyotl","139","327","18,775",,"30,744","945",,"1,216","388","418","1,674","578","765","16,501","39","4,091","76,134","191,096"
"15","MEXICO","21","Naucalpan de Juárez","167","363","51,061",,"12,068","861",,"1,617","300","278","2,377","338","676","18,526","44","2,296","90,442","208,236"
"15","MEXICO","22","Naucalpan de Juárez","156","352","25,098",,"11,580","799",,"1,271","325","523","1,608","464","649","24,344","191","2,639","69,491","201,129"
"15","MEXICO","23","Valle de Bravo","167","343","18,985",,"7,722","2,847",,"621","196","289","418","173","447","31,765","9","2,836","66,308","178,626"
"15","MEXICO","24","Naucalpan de Juárez","139","344","22,948",,"12,153","1,020",,"1,200","266","728","968","355","582","21,229","12","2,615","64,076","207,862"
"15","MEXICO","25","Chimalhuacán","170","529","9,259",,"28,568","1,502",,"7,371","543","471","1,345","485","916","54,557","52","4,704","109,773","328,325"
"15","MEXICO","26","Toluca de Lerdo","146","384","45,522",,"6,550","1,749",,"1,796","488","261","781","389","806","32,925","50","3,384","94,701","230,327"
"15","MEXICO","27","Metepec","181","436","36,182",,"8,715","6,214",,"1,506","966","662","1,107","632","881","38,879","280","2,650","98,674","254,704"
"15","MEXICO","28","Ciudad Nezahualcóyotl","138","308","9,608",,"29,565","1,572",,"1,363","321","198","1,199","356","588","22,666","45","2,590","70,071","175,145"
"15","MEXICO","29","Ciudad Nezahualcóyotl","132","291","11,719",,"27,906","995",,"1,457","322","450","1,261","566","609","15,204","42","2,484","63,015","165,413"
"15","MEXICO","30","Ciudad Nezahualcóyotl","127","299","9,109",,"30,304","1,042",,"1,358","281","320","1,182","543","550","14,351","32","2,363","61,435","178,257"
"15","MEXICO","31","Ciudad Nezahualcóyotl","134","307","9,145",,"33,452","866",,"1,462","357","387","1,082","341","748","14,961","92","2,459","65,352","177,712"
"15","MEXICO","32","Valle de Chalco Solidaridad","180","497","12,766",,"28,169","2,639",,"2,475","778","587","1,425","587","863","38,887","32","4,292","93,500","302,647"
"15","MEXICO","33","Chalco de Díaz Covarrubias","185","443","13,488",,"26,190","2,219",,"1,776","402","1,190","1,354","704","639","33,947","11","3,222","85,142","260,277"
"15","MEXICO","34","Toluca de Lerdo","128","321","37,896",,"7,355","1,590",,"1,626","243","271","1,033","559","860","27,916","29","2,394","81,772","194,110"
"15","MEXICO","35","Tenancingo de Degollado","188","429","18,642",,"9,915","2,859",,"880","294","235","360","187","703","36,366","21","2,475","72,937","236,127"
"15","MEXICO","36","Tejupilco de Hidalgo","265","464","7,050",,"33,724","1,896",,"585","122","137","286","178","205","35,285","4","2,749","82,221","206,252"
"16","MICHOACAN","1","La Piedad","190","331","11,151","23,620","20,804","525","2,493","127","33","218","102","173","55",,"28","1,910","61,239","177,407"
"16","MICHOACAN","2","Puruándiro","188","360","7,171","18,946","23,076","734","3,790","723","48","334","227","176","111",,"40","2,135","57,511","188,408"
"16","MICHOACAN","3","Zitácuaro","231","406","13,381","23,260","29,467","1,386","4,610","754","126","670","414","226","80",,"47","3,475","77,896","212,734"
"16","MICHOACAN","4","Jiquilpan","248","450","20,666","25,883","24,187","659","4,718","351","59","188","216","69","53",,"36","2,670","79,755","216,631"
"16","MICHOACAN","6","Ciudad Hidalgo","219","384","16,654","17,815","21,218","1,048","3,187","611","66","1,842","159","175","160",,"55","2,884","65,874","194,643"
"16","MICHOACAN","7","Zacapu","207","386","9,368","18,899","23,729","1,040","6,334","726","151","282","263","543","634",,"79","3,341","65,389","205,298"
"16","MICHOACAN","8","Morelia","168","382","19,103","13,410","21,725","1,328","10,486","926","456","568","674","495","418",,"99","4,007","73,695","218,484"
"16","MICHOACAN","9","Uruapan","199","419","18,383","17,534","27,328","934","10,262","773","119","610","3,687","406","135",,"29","3,219","83,419","233,739"
"16","MICHOACAN","10","Morelia","180","372","24,957","16,731","21,259","2,169","8,698","677","328","568","1,257","348","495",,"134","3,777","81,398","207,605"
"16","MICHOACAN","11","Tacámbaro","260","399","7,229","22,945","28,385","1,368","3,445","173","62","434","134","119","142",,"21","2,496","66,953","189,691"
"16","MICHOACAN","12","Apatzingán","223","416","5,028","20,274","29,170","619","3,324","653","156","450","138","49","366",,"26","1,894","62,147","212,278"
"16","MICHOACAN","13","Lázaro Cárdenas","158","371","6,591","18,289","21,450","1,806","2,997","438","79","357","181","148","408",,"30","1,421","54,195","185,765"
"17","MORELOS","1","Cuernavaca","214","455","45,418","26,669","24,551","1,571","11,933","5,558","542","621","2,202","1,686","598",,"119","4,414","125,882","259,503"
"17","MORELOS","2","Yautepec","237","551","45,953","42,192","26,846","1,852","11,387","8,258","560","636","2,115","1,193","1,504",,"70","5,034","147,600","313,685"
